Optimal control state trajectory ( x, y, z, r, p, w, x_dot, y_dot, z_dot, r_dot, p_dot, w_dot )
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.314159,0.000000,0.150000,0.000000,0.000000,0.000000
1.570538,0.024672,0.750000,0.000000,0.000000,1.000000,0.314004,0.009868,0.150000,0.000000,0.000000,0.000000
3.139526,0.098664,1.500000,0.000000,0.000000,1.000000,0.313539,0.019726,0.150000,0.000000,0.000000,0.000000
4.705416,0.221902,2.250000,0.000000,0.000000,1.000000,0.312765,0.029565,0.150000,0.000000,0.000000,0.000000
6.266662,0.394265,3.000000,0.000000,0.000000,1.000000,0.311682,0.039375,0.150000,0.000000,0.000000,0.000000
7.821723,0.615583,3.750000,0.000000,0.000000,1.000000,0.310291,0.049145,0.150000,0.000000,0.000000,0.000000
9.369066,0.885637,4.500000,0.000000,0.000000,1.000000,0.308595,0.058868,0.150000,0.000000,0.000000,0.000000
10.907162,1.204162,5.250000,0.000000,0.000000,1.000000,0.306593,0.068532,0.150000,0.000000,0.000000,0.000000
12.434494,1.570842,6.000000,0.000000,0.000000,1.000000,0.304289,0.078128,0.150000,0.000000,0.000000,0.000000
13.949555,1.985316,6.750000,0.000000,0.000000,1.000000,0.301685,0.087648,0.150000,0.000000,0.000000,0.000000
15.450850,2.447174,7.500000,0.000000,0.000000,1.000000,0.298783,0.097081,0.150000,0.000000,0.000000,0.000000
16.936896,2.955962,8.250000,0.000000,0.000000,1.000000,0.295586,0.106418,0.150000,0.000000,0.000000,0.000000
18.406228,3.511176,9.000000,0.000000,0.000000,1.000000,0.292098,0.115650,0.150000,0.000000,0.000000,0.000000
19.857395,4.112269,9.750000,0.000000,0.000000,1.000000,0.288321,0.124768,0.150000,0.000000,0.000000,0.000000
21.288965,4.758647,10.500000,0.000000,0.000000,1.000000,0.284260,0.133763,0.150000,0.000000,0.000000,0.000000
22.699525,5.449674,11.250000,0.000000,0.000000,1.000000,0.279918,0.142625,0.150000,0.000000,0.000000,0.000000
24.087684,6.184666,12.000000,0.000000,0.000000,1.000000,0.275300,0.151347,0.150000,0.000000,0.000000,0.000000
25.452071,6.962899,12.750000,0.000000,0.000000,1.000000,0.270410,0.159920,0.150000,0.000000,0.000000,0.000000
26.791340,7.783604,13.500000,0.000000,0.000000,1.000000,0.265253,0.168335,0.150000,0.000000,0.000000,0.000000
28.104169,8.645971,14.250000,0.000000,0.000000,1.000000,0.259835,0.176584,0.150000,0.000000,0.000000,0.000000
29.389263,9.549150,15.000000,0.000000,0.000000,1.000000,0.254160,0.184658,0.150000,0.000000,0.000000,0.000000
30.645353,10.492249,15.750000,0.000000,0.000000,1.000000,0.248235,0.192550,0.150000,0.000000,0.000000,0.000000
31.871199,11.474338,16.500000,0.000000,0.000000,1.000000,0.242064,0.200253,0.150000,0.000000,0.000000,0.000000
33.065593,12.494447,17.250000,0.000000,0.000000,1.000000,0.235654,0.207757,0.150000,0.000000,0.000000,0.000000
34.227355,13.551569,18.000000,0.000000,0.000000,1.000000,0.229012,0.215057,0.150000,0.000000,0.000000,0.000000
35.355339,14.644661,18.750000,0.000000,0.000000,1.000000,0.222144,0.222144,0.150000,0.000000,0.000000,0.000000
36.448431,15.772645,19.500000,0.000000,0.000000,1.000000,0.215057,0.229012,0.150000,0.000000,0.000000,0.000000
37.505553,16.934407,20.250000,0.000000,0.000000,1.000000,0.207757,0.235654,0.150000,0.000000,0.000000,0.000000
38.525662,18.128801,21.000000,0.000000,0.000000,1.000000,0.200253,0.242064,0.150000,0.000000,0.000000,0.000000
39.507751,19.354647,21.750000,0.000000,0.000000,1.000000,0.192550,0.248235,0.150000,0.000000,0.000000,0.000000
40.450850,20.610737,22.500000,0.000000,0.000000,1.000000,0.184658,0.254160,0.150000,0.000000,0.000000,0.000000
41.354029,21.895831,23.250000,0.000000,0.000000,1.000000,0.176584,0.259835,0.150000,0.000000,0.000000,0.000000
42.216396,23.208660,24.000000,0.000000,0.000000,1.000000,0.168335,0.265253,0.150000,0.000000,0.000000,0.000000
43.037101,24.547929,24.750000,0.000000,0.000000,1.000000,0.159920,0.270410,0.150000,0.000000,0.000000,0.000000
43.815334,25.912316,25.500000,0.000000,0.000000,1.000000,0.151347,0.275300,0.150000,0.000000,0.000000,0.000000
