Optimal control state trajectory ( x, y, z, r, p, w, x_dot, y_dot, z_dot, r_dot, p_dot, w_dot )
0,0,1,0,0,0,0,0,0,0,0,0
0.0108,0.01079888,1,0,0,0.785346318,0.216,0.215977604,0,0,0,15.70692636
0.0214,0.021391287,1,0,0,0.785039856,0.212,0.211848132,0,0,0,-0.006129233
0.032,0.03197086,1,0,0,0.784433688,0.212,0.211591456,0,0,0,-0.012123372
0.0422,0.042133146,1,0,0,0.783546023,0.204,0.203245723,0,0,0,-0.017753303
0.0528,0.052668995,1,0,0,0.782363002,0.212,0.210716982,0,0,0,-0.023660405
0.0636,0.063370912,1,0,0,0.780836624,0.216,0.21403835,0,0,0,-0.030527557
0.0745,0.074131539,1,0,0,0.77896384,0.218,0.215212532,0,0,0,-0.037455684
0.0854,0.084844562,1,0,0,0.776747248,0.218,0.214260458,0,0,0,-0.044331848
0.0963,0.095502873,1,0,0,0.774187698,0.218,0.213166223,0,0,0,-0.051191007
0.1072,0.106099305,1,0,0,0.771277294,0.218,0.211928631,0,0,0,-0.058208063
0.1182,0.116722858,1,0,0,0.767990848,0.22,0.212471079,0,0,0,-0.06572893
0.1292,0.127268505,1,0,0,0.764313361,0.22,0.210912939,0,0,0,-0.073549735
0.1403,0.137823315,1,0,0,0.76022707,0.222,0.211096193,0,0,0,-0.081725813
0.1514,0.14828313,1,0,0,0.755713449,0.222,0.2091963,0,0,0,-0.090272427
0.1626,0.158732728,1,0,0,0.750750804,0.224,0.208991966,0,0,0,-0.0992529
0.1738,0.169069051,1,0,0,0.745316347,0.224,0.20672645,0,0,0,-0.108689138
0.1851,0.179374198,1,0,0,0.739383614,0.226,0.206102933,0,0,0,-0.118654666
0.1964,0.189546438,1,0,0,0.732924613,0.226,0.203444801,0,0,0,-0.129180012
0.2078,0.199664775,1,0,0,0.725907025,0.228,0.202366745,0,0,0,-0.140351758
0.2193,0.209715736,1,0,0,0.71826142,0.23,0.201019218,0,0,0,-0.152912109
0.2309,0.219685074,1,0,0,0.709940797,0.232,0.199386769,0,0,0,-0.166412461
0.2426,0.229557719,1,0,0,0.70089282,0.234,0.197452888,0,0,0,-0.180959544
0.2544,0.239317713,1,0,0,0.691059095,0.236,0.195199893,0,0,0,-0.196674497
