Optimal control state trajectory ( x, y, z, r, p, w, x_dot, y_dot, z_dot, r_dot, p_dot, w_dot )
0,0,1,0,0,0,0,0,0,0,0,0
0.108,0.107988802,1,0,0,0.785346318,2.16,2.15977604,0,0,0,15.70692636
0.214,0.213912868,1,0,0,0.785039856,2.12,2.118481322,0,0,0,-0.006129233
0.32,0.319708596,1,0,0,0.784433688,2.12,2.115914562,0,0,0,-0.012123372
0.422,0.421331458,1,0,0,0.783546023,2.04,2.032457227,0,0,0,-0.017753303
0.528,0.526689949,1,0,0,0.782363002,2.12,2.107169819,0,0,0,-0.023660405
0.636,0.633709123,1,0,0,0.780836624,2.16,2.140383497,0,0,0,-0.030527557
0.745,0.741315389,1,0,0,0.77896384,2.18,2.152125321,0,0,0,-0.037455684
0.854,0.848445618,1,0,0,0.776747248,2.18,2.14260458,0,0,0,-0.044331848
0.963,0.95502873,1,0,0,0.774187698,2.18,2.131662233,0,0,0,-0.051191007
1.072,1.060993045,1,0,0,0.771277294,2.18,2.119286306,0,0,0,-0.058208063
1.182,1.167228585,1,0,0,0.767990848,2.2,2.12471079,0,0,0,-0.06572893
1.292,1.272685055,1,0,0,0.764313361,2.2,2.109129392,0,0,0,-0.073549735
1.403,1.378233151,1,0,0,0.76022707,2.22,2.110961926,0,0,0,-0.081725813
1.514,1.482831301,1,0,0,0.755713449,2.22,2.091963,0,0,0,-0.090272427
1.626,1.587327284,1,0,0,0.750750804,2.24,2.089919659,0,0,0,-0.0992529
1.738,1.690690509,1,0,0,0.745316347,2.24,2.067264503,0,0,0,-0.108689138
1.851,1.793741976,1,0,0,0.739383614,2.26,2.061029333,0,0,0,-0.118654666
1.964,1.895464376,1,0,0,0.732924613,2.26,2.034448012,0,0,0,-0.129180012
2.078,1.996647749,1,0,0,0.725907025,2.28,2.023667451,0,0,0,-0.140351758
2.193,2.097157358,1,0,0,0.71826142,2.3,2.010192182,0,0,0,-0.152912109
2.309,2.196850742,1,0,0,0.709940797,2.32,1.993867691,0,0,0,-0.166412461
2.426,2.295577186,1,0,0,0.70089282,2.34,1.974528878,0,0,0,-0.180959544
2.544,2.393177133,1,0,0,0.691059095,2.36,1.951998934,0,0,0,-0.196674497
2.663,2.489481536,1,0,0,0.680374341,2.38,1.92608806,0,0,0,-0.213695081
2.783,2.584311136,1,0,0,0.668765428,2.4,1.896591998,0,0,0,-0.232178251
2.904,2.677475653,1,0,0,0.656150272,2.42,1.863290348,0,0,0,-0.252303126
3.026,2.768772884,1,0,0,0.642436552,2.44,1.825944612,0,0,0,-0.274274408
3.149,2.85798768,1,0,0,0.627520237,2.46,1.784295933,0,0,0,-0.298326299
3.274,2.945578788,1,0,0,0.611214963,2.5,1.751822145,0,0,0,-0.326105466
3.401,3.031220278,1,0,0,0.593297791,2.54,1.712829797,0,0,0,-0.358343438
3.529,3.113926854,1,0,0,0.573660521,2.56,1.654131538,0,0,0,-0.392745414
3.659,3.194007551,1,0,0,0.552105094,2.6,1.601613922,0,0,0,-0.431108544
3.791,3.271049689,1,0,0,0.5283126,2.64,1.540842777,0,0,0,-0.475849867
3.925,3.344602616,1,0,0,0.502000162,2.68,1.471058533,0,0,0,-0.526248757
4.061,3.41417293,1,0,0,0.472842023,2.72,1.391406274,0,0,0,-0.583162782
4.199,3.47921882,1,0,0,0.440463625,2.76,1.300917807,0,0,0,-0.647567958
4.34,3.539548427,1,0,0,0.404298673,2.82,1.206592142,0,0,0,-0.723299053
4.482,3.593642445,1,0,0,0.363971453,2.84,1.081880359,0,0,0,-0.806544393
4.627,3.641520322,1,0,0,0.318920921,2.9,0.957557527,0,0,0,-0.901010638
4.774,3.681943641,1,0,0,0.26835558,2.94,0.808466383,0,0,0,-1.011306815
4.923,3.713975412,1,0,0,0.211755451,2.98,0.640635435,0,0,0,-1.132002585
5.074,3.73655454,1,0,0,0.148430891,3.02,0.451582554,0,0,0,-1.266491202
5.226,3.748429366,1,0,0,0.077965498,3.04,0.237496525,0,0,0,-1.409307867
5.378,3.748490674,1,0,0,0.000403338,3.04,0.001226146,0,0,0,-1.551243202
5.53,3.735675885,1,0,0,-0.084108923,3.04,-0.256295783,0,0,0,-1.690245213
5.68,3.709201882,1,0,0,-0.174694275,3,-0.529480056,0,0,0,-1.811707039
5.828,3.668249849,1,0,0,-0.269948718,2.96,-0.819040664,0,0,0,-1.905088862
5.971,3.613178926,1,0,0,-0.36760581,2.86,-1.101418446,0,0,0,-1.953141834
6.108,3.544496346,1,0,0,-0.464713205,2.74,-1.373651613,0,0,0,-1.942147902
6.238,3.463183794,1,0,0,-0.558945249,2.6,-1.626251036,0,0,0,-1.884640876
6.361,3.369948593,1,0,0,-0.648607678,2.46,-1.864704013,0,0,0,-1.79324859
6.474,3.268477364,1,0,0,-0.731695458,2.26,-2.029424593,0,0,0,-1.661755592
6.58,3.157620052,1,0,0,-0.807793072,2.12,-2.217146234,0,0,0,-1.521952277
6.678,3.03968476,1,0,0,-0.877457884,1.96,-2.358705833,0,0,0,-1.39329625
6.768,2.916326724,1,0,0,-0.940490268,1.8,-2.467160732,0,0,0,-1.260647668
6.851,2.78776483,1,0,0,-0.997518051,1.66,-2.571237879,0,0,0,-1.140555665
6.927,2.65551801,1,0,0,-1.04920031,1.52,-2.644936402,0,0,0,-1.033645174
6.997,2.519263952,1,0,0,-1.096212353,1.4,-2.725081142,0,0,0,-0.940240873
7.061,2.380306098,1,0,0,-1.139186162,1.28,-2.779157095,0,0,0,-0.859476174
7.119,2.240160063,1,0,0,-1.178404172,1.16,-2.802920699,0,0,0,-0.784360207
7.173,2.094946336,1,0,0,-1.214776389,1.08,-2.90427454,0,0,0,-0.727444336
7.222,1.948058638,1,0,0,-1.248816426,0.98,-2.937753953,0,0,0,-0.680800741
7.266,1.800833209,1,0,0,-1.280384433,0.88,-2.94450858,0,0,0,-0.631360136
7.305,1.6549332,1,0,0,-1.309596809,0.78,-2.918000191,0,0,0,-0.584247524
7.34,1.508036101,1,0,0,-1.336895314,0.7,-2.937941968,0,0,0,-0.545970088
7.371,1.361225543,1,0,0,-1.362696762,0.62,-2.936211173,0,0,0,-0.516028975
7.399,1.210182897,1,0,0,-1.387498989,0.56,-3.020852914,0,0,0,-0.496044534
7.423,1.060941968,1,0,0,-1.411347685,0.48,-2.984818579,0,0,0,-0.476973911
7.444,0.907972184,1,0,0,-1.434367112,0.42,-3.059395677,0,0,0,-0.460388544
7.461,0.75988591,1,0,0,-1.456498722,0.34,-2.961725488,0,0,0,-0.442632207
7.475,0.609822373,1,0,0,-1.477771774,0.28,-3.001270736,0,0,0,-0.425461041
7.486,0.457188651,1,0,0,-1.498852754,0.22,-3.052674432,0,0,0,-0.4216196
7.4937,0.307085791,1,0,0,-1.519543096,0.154,-3.002057194,0,0,0,-0.413806843
7.4984,0.154878024,1,0,0,-1.539927291,0.094,-3.044155358,0,0,0,-0.407683893
7.5,0,1,0,0,-1.560465984,0.032,-3.097560471,0,0,0,-0.410773858
7.4984,-0.154878024,1,0,0,-1.58112667,-0.032,-3.097560471,0,0,0,-0.413213714
7.4937,-0.307085791,1,0,0,-1.601665363,-0.094,-3.044155358,0,0,0,-0.410773858
7.486,-0.457188651,1,0,0,-1.622049557,-0.154,-3.002057194,0,0,0,-0.407683893
7.475,-0.609822373,1,0,0,-1.642739899,-0.22,-3.052674432,0,0,0,-0.413806843
7.461,-0.75988591,1,0,0,-1.663820879,-0.28,-3.001270736,0,0,0,-0.4216196
7.444,-0.907972184,1,0,0,-1.685093931,-0.34,-2.961725488,0,0,0,-0.425461041
7.423,-1.060941968,1,0,0,-1.707225542,-0.42,-3.059395677,0,0,0,-0.442632207
7.399,-1.210182897,1,0,0,-1.730244969,-0.48,-2.984818579,0,0,0,-0.460388544
7.371,-1.361225543,1,0,0,-1.754093665,-0.56,-3.020852914,0,0,0,-0.476973911
7.34,-1.508036101,1,0,0,-1.778895891,-0.62,-2.936211173,0,0,0,-0.496044534
7.305,-1.6549332,1,0,0,-1.80469734,-0.7,-2.937941968,0,0,0,-0.516028975
7.266,-1.800833209,1,0,0,-1.831995844,-0.78,-2.918000191,0,0,0,-0.545970088
7.222,-1.948058638,1,0,0,-1.861208221,-0.88,-2.94450858,0,0,0,-0.584247524
7.173,-2.094946336,1,0,0,-1.892776227,-0.98,-2.937753953,0,0,0,-0.631360136
7.119,-2.240160063,1,0,0,-1.926816264,-1.08,-2.90427454,0,0,0,-0.680800741
7.061,-2.380306098,1,0,0,-1.963188481,-1.16,-2.802920699,0,0,0,-0.727444336
6.997,-2.519263952,1,0,0,-2.002406492,-1.28,-2.779157095,0,0,0,-0.784360207
6.927,-2.65551801,1,0,0,-2.0453803,-1.4,-2.725081142,0,0,0,-0.859476174
6.851,-2.78776483,1,0,0,-2.092392344,-1.52,-2.644936402,0,0,0,-0.940240873
6.768,-2.916326724,1,0,0,-2.144074603,-1.66,-2.571237879,0,0,0,-1.033645174
6.678,-3.03968476,1,0,0,-2.201102386,-1.8,-2.467160732,0,0,0,-1.140555665
6.58,-3.157620052,1,0,0,-2.264134769,-1.96,-2.358705833,0,0,0,-1.260647668
6.474,-3.268477364,1,0,0,-2.333799582,-2.12,-2.217146234,0,0,0,-1.39329625
6.361,-3.369948593,1,0,0,-2.409897196,-2.26,-2.029424593,0,0,0,-1.521952277
6.238,-3.463183794,1,0,0,-2.492984975,-2.46,-1.864704013,0,0,0,-1.661755592
6.108,-3.544496346,1,0,0,-2.582647405,-2.6,-1.626251036,0,0,0,-1.79324859
5.971,-3.613178926,1,0,0,-2.676879449,-2.74,-1.373651613,0,0,0,-1.884640876
5.828,-3.668249849,1,0,0,-2.773986844,-2.86,-1.101418446,0,0,0,-1.942147902
5.68,-3.709201882,1,0,0,-2.871643935,-2.96,-0.819040664,0,0,0,-1.953141834
5.53,-3.735675885,1,0,0,-2.966898379,-3,-0.529480056,0,0,0,-1.905088862
5.378,-3.748490674,1,0,0,-3.05748373,-3.04,-0.256295783,0,0,0,-1.811707039
5.226,-3.748429366,1,0,0,3.141189316,-3.04,0.001226146,0,0,0,123.9734609
5.074,-3.73655454,1,0,0,3.063627156,-3.04,0.237496525,0,0,0,-1.551243202
4.923,-3.713975412,1,0,0,2.993161763,-3.02,0.451582554,0,0,0,-1.409307867
4.774,-3.681943641,1,0,0,2.929837202,-2.98,0.640635435,0,0,0,-1.266491202
4.627,-3.641520322,1,0,0,2.873237073,-2.94,0.808466383,0,0,0,-1.132002585
4.482,-3.593642445,1,0,0,2.822671733,-2.9,0.957557527,0,0,0,-1.011306815
4.34,-3.539548427,1,0,0,2.777621201,-2.84,1.081880359,0,0,0,-0.901010638
4.199,-3.47921882,1,0,0,2.737293981,-2.82,1.206592142,0,0,0,-0.806544393
4.061,-3.41417293,1,0,0,2.701129028,-2.76,1.300917807,0,0,0,-0.723299053
