Optimal control state trajectory ( x, y, z, r, p, w, x_dot, y_dot, z_dot, r_dot, p_dot, w_dot )
0,0,1,0,0,0,0,0,0,0,0,0
1.08,1.07988802,1,0,0,0.785346318,21.6,21.5977604,0,0,0,15.70692636
2.14,2.139128681,1,0,0,0.785039856,21.2,21.18481322,0,0,0,-0.006129233
3.2,3.197085962,1,0,0,0.784433688,21.2,21.15914562,0,0,0,-0.012123372
4.22,4.213314576,1,0,0,0.783546023,20.4,20.32457227,0,0,0,-0.017753303
5.28,5.266899485,1,0,0,0.782363002,21.2,21.07169819,0,0,0,-0.023660405
6.36,6.337091234,1,0,0,0.780836624,21.6,21.40383497,0,0,0,-0.030527557
7.45,7.413153895,1,0,0,0.77896384,21.8,21.52125321,0,0,0,-0.037455684
8.54,8.484456185,1,0,0,0.776747248,21.8,21.4260458,0,0,0,-0.044331848
9.63,9.550287301,1,0,0,0.774187698,21.8,21.31662233,0,0,0,-0.051191007
10.72,10.60993045,1,0,0,0.771277294,21.8,21.19286306,0,0,0,-0.058208063
11.82,11.67228585,1,0,0,0.767990848,22,21.2471079,0,0,0,-0.06572893
12.92,12.72685055,1,0,0,0.764313361,22,21.09129392,0,0,0,-0.073549735
14.03,13.78233151,1,0,0,0.76022707,22.2,21.10961926,0,0,0,-0.081725813
15.14,14.82831301,1,0,0,0.755713449,22.2,20.91963,0,0,0,-0.090272427
16.26,15.87327284,1,0,0,0.750750804,22.4,20.89919659,0,0,0,-0.0992529
17.38,16.90690509,1,0,0,0.745316347,22.4,20.67264503,0,0,0,-0.108689138
18.51,17.93741976,1,0,0,0.739383614,22.6,20.61029333,0,0,0,-0.118654666
19.64,18.95464376,1,0,0,0.732924613,22.6,20.34448012,0,0,0,-0.129180012
20.78,19.96647749,1,0,0,0.725907025,22.8,20.23667451,0,0,0,-0.140351758
21.93,20.97157358,1,0,0,0.71826142,23,20.10192182,0,0,0,-0.152912109
23.09,21.96850742,1,0,0,0.709940797,23.2,19.93867691,0,0,0,-0.166412461
24.26,22.95577186,1,0,0,0.70089282,23.4,19.74528878,0,0,0,-0.180959544
25.44,23.93177133,1,0,0,0.691059095,23.6,19.51998934,0,0,0,-0.196674497
26.63,24.89481536,1,0,0,0.680374341,23.8,19.2608806,0,0,0,-0.213695081
27.83,25.84311136,1,0,0,0.668765428,24,18.96591998,0,0,0,-0.232178251
29.04,26.77475653,1,0,0,0.656150272,24.2,18.63290348,0,0,0,-0.252303126
30.26,27.68772884,1,0,0,0.642436552,24.4,18.25944612,0,0,0,-0.274274408
31.49,28.5798768,1,0,0,0.627520237,24.6,17.84295933,0,0,0,-0.298326299
32.74,29.45578788,1,0,0,0.611214963,25,17.51822145,0,0,0,-0.326105466
34.01,30.31220278,1,0,0,0.593297791,25.4,17.12829797,0,0,0,-0.358343438
35.29,31.13926854,1,0,0,0.573660521,25.6,16.54131538,0,0,0,-0.392745414
36.59,31.94007551,1,0,0,0.552105094,26,16.01613922,0,0,0,-0.431108544
37.91,32.71049689,1,0,0,0.5283126,26.4,15.40842777,0,0,0,-0.475849867
39.25,33.44602616,1,0,0,0.502000162,26.8,14.71058533,0,0,0,-0.526248757
40.61,34.1417293,1,0,0,0.472842023,27.2,13.91406274,0,0,0,-0.583162782
41.99,34.7921882,1,0,0,0.440463625,27.6,13.00917807,0,0,0,-0.647567958
43.4,35.39548427,1,0,0,0.404298673,28.2,12.06592142,0,0,0,-0.723299053
44.82,35.93642445,1,0,0,0.363971453,28.4,10.81880359,0,0,0,-0.806544393
46.27,36.41520322,1,0,0,0.318920921,29,9.575575269,0,0,0,-0.901010638
47.74,36.81943641,1,0,0,0.26835558,29.4,8.084663826,0,0,0,-1.011306815
49.23,37.13975412,1,0,0,0.211755451,29.8,6.406354351,0,0,0,-1.132002585
50.74,37.3655454,1,0,0,0.148430891,30.2,4.515825537,0,0,0,-1.266491202
52.26,37.48429366,1,0,0,0.077965498,30.4,2.37496525,0,0,0,-1.409307867
53.78,37.48490674,1,0,0,0.000403338,30.4,0.012261462,0,0,0,-1.551243202
