Replay trajectory ( ref_x, ref_y, ref_z, ref_r, ref_p, ref_w, ref_x_dot, ref_y_dot, ref_z_dot, ref_r_dot, ref_p_dot, ref_w_dot, act_x, act_y, act_z, act_r, act_p, act_w, act_x_dot, act_y_dot, act_z_dot, act_r_dot, act_p_dot, act_w_dot )
0.0000000000,0.0000000000,0.0000083241,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149285696,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0016331167,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000332593,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149416336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0013063948,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000747500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149520840,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0010450449,0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0001327407,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149604439,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008359886,-0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0002071759,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0149671315,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006687638,-0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0002980000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149724815,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0005350016,0.0000000000,-0.0000000000,-0.0000000000
0.0000000000,0.0000000000,0.0004051574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149767616,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0004280074,-0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0005285926,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149801859,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0003424260,0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0006682500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149829256,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002739734,-0.0000000000,-0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0008240741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149851178,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002192228,-0.0000000000,0.0000000000,-0.0000000000
0.0000000000,0.0000000000,0.0009960093,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0149868722,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0001754329,0.0000000000,-0.0000000000,0.0000000000
