u0,u1,u2,u3
-0.0001352571,-0.0001352571,-0.0001352571,-0.0001352571
-0.0001305927,-0.0001305927,-0.0001305927,-0.0001305927
-0.0001266990,-0.0001266990,-0.0001266990,-0.0001266990
-0.0001233974,-0.0001233974,-0.0001233974,-0.0001233974
-0.0001205449,-0.0001205449,-0.0001205449,-0.0001205449
-0.0001180952,-0.0001180952,-0.0001180952,-0.0001180952
-0.0001158211,-0.0001158211,-0.0001158211,-0.0001158211
-0.0001137176,-0.0001137176,-0.0001137176,-0.0001137176
-0.0001117264,-0.0001117264,-0.0001117264,-0.0001117264
-0.0001098011,-0.0001098011,-0.0001098011,-0.0001098011
-0.0001079044,-0.0001079044,-0.0001079044,-0.0001079044
-0.0001060067,-0.0001060067,-0.0001060067,-0.0001060067
-0.0001041134,-0.0001041134,-0.0001041134,-0.0001041134
-0.0001021478,-0.0001021478,-0.0001021478,-0.0001021478
-0.0001001238,-0.0001001238,-0.0001001238,-0.0001001238
-0.0000980296,-0.0000980296,-0.0000980296,-0.0000980296
-0.0000958558,-0.0000958558,-0.0000958558,-0.0000958558
-0.0000936030,-0.0000936030,-0.0000936030,-0.0000936030
-0.0000912490,-0.0000912490,-0.0000912490,-0.0000912490
-0.0000887975,-0.0000887975,-0.0000887975,-0.0000887975
-0.0000862448,-0.0000862448,-0.0000862448,-0.0000862448
-0.0000835930,-0.0000835930,-0.0000835930,-0.0000835930
-0.0000808301,-0.0000808301,-0.0000808301,-0.0000808301
-0.0000779593,-0.0000779593,-0.0000779593,-0.0000779593
-0.0000749832,-0.0000749832,-0.0000749832,-0.0000749832
-0.0000718934,-0.0000718934,-0.0000718934,-0.0000718934
-0.0000686931,-0.0000686931,-0.0000686931,-0.0000686931
-0.0000653856,-0.0000653856,-0.0000653856,-0.0000653856
-0.0000619630,-0.0000619630,-0.0000619630,-0.0000619630
-0.0000584290,-0.0000584290,-0.0000584290,-0.0000584290
-0.0000547877,-0.0000547877,-0.0000547877,-0.0000547877
