ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz
1,0.007933,-0.023092,-1.012225,3.070074,0.390259,0.440097,0.014298,-0.007789,-1.006086,-10.412207,10.047052,1.011209,8.3999,-3,-0.2532
1,-0.056642,-0.007833,-0.001239,9.7992,-1.379761,2.591586,-0.058456,-0.008643,-0.003034,-7.375708,7.773492,4.200296,9.2,1.3999,5.3157
1,-0.056642,-0.006491,-0.00075,-16.918938,3.854004,4.68204,-0.05748,-0.007911,-0.002912,-0.265112,2.631281,3.086404,2,1,6.8342
1,-0.04944,-0.017965,-0.012591,-2.362055,3.213135,1.737094,-0.042465,-0.019508,-0.051862,-2.904883,2.600763,3.635721,3.2,1,4.8093
1,-0.04944,-0.019308,-0.04201,20.892342,-0.677856,3.079867,-0.052475,-0.005714,-0.029279,0.543604,13.35821,2.277689,10.8,-2.6001,0.2532
1,-0.088991,0.044291,0.182477,-30.072014,3.731934,4.346347,-0.05809,0.051171,0.281389,-10.702124,-15.114691,2.247171,1.2,0.5999,7.3406
1,0.000242,-0.042868,0.165021,-19.818108,-10.351929,4.788852,0.024918,-0.033179,-0.033064,-30.675879,-6.615546,7.480936,2,-1,2.2781
1,0.115965,-0.195089,-0.384417,-5.047602,18.288818,15.210606,0.153946,-0.097266,-0.462629,21.036158,9.512995,15.796976,3.2,2.5999,2.7844
1,0.101195,-0.172628,-0.176287,30.780037,26.421753,22.824739,0.016861,0.016137,0.071551,31.427391,17.111872,31.055765,10,-1.8,0.2532
1,-0.116823,0.137308,0.485456,-22.152702,-20.727905,30.728792,0.017349,0.115991,0.548968,-30.630102,-19.616034,28.8585,3.6001,1.8,6.8342
1,0.26367,-0.255026,0.185163,-62.054436,-18.896851,39.014317,0.294083,-0.082374,-0.183454,-44.149391,-25.933172,45.200661,10.8,-0.6001,2.7844
1,0.119383,-0.197531,-0.514056,34.259041,18.441406,63.504673,0.160049,-0.098487,-0.501203,24.91189,32.706352,63.923195,4.8,-1.4001,1.7717
1,0.079832,-0.125875,-0.002459,31.893929,28.268066,75.528603,0.015152,0.058007,0.303118,33.517845,17.737482,79.853371,10.3999,-3.4001,1.2656
1,-0.275514,0.290629,0.483869,5.419928,11.239258,82.929115,0.099381,0.086694,0.505511,-64.70298,-26.5893,77.640846,3.6001,1,4.8093
1,0.400511,-0.420675,-0.04494,-62.13073,-24.45105,96.204262,0.416763,-0.161353,-0.441999,-52.618019,-16.915228,96.62278,9.2,0.2,0.7593
1,0.182982,-0.235861,-0.620501,-36.953728,11.361328,119.428139,0.19484,-0.079078,-0.494001,46.579369,22.132013,121.280983,5.6001,-1,2.2781
1,0.031859,-0.036642,0.170148,62.960819,24.773804,133.588287,-0.001205,0.093774,0.473772,36.157616,29.196833,137.226425,9.6001,-2.2,0.7593
1,-0.370119,0.422342,0.63548,-11.62414,-1.608642,138.791534,0.118668,0.061669,0.45949,-76.055519,-46.028999,128.055893,5.2,1,5.8218
1,0.472777,-0.51589,-0.250872,-49.847404,-24.649414,144.89505,0.483292,-0.203101,-0.600202,-65.465919,-20.607855,148.975693,8.8,-1.8,2.2781
1,0.182005,-0.221579,-0.710223,7.708746,7.928101,173.36795,0.189468,-0.059913,-0.450422,58.755882,26.32818,175.007187,6.8,-1,3.2905
1,-0.053224,0.085795,0.325666,49.655159,23.461548,188.275787,-0.047348,0.119653,0.584368,41.757591,17.172907,190.021835,9.2,-0.2,2.2781
1,-0.411501,0.481546,0.709699,-3.399652,-16.669067,187.390778,0.132706,0.034692,0.385638,-85.210793,-38.33857,172.550522,5.6001,-0.2,2.2781
1,0.165282,-0.153463,0.328107,-86.987305,-35.223755,175.275299,0.489883,-0.222388,-0.716291,-67.022316,-32.112984,194.584213,9.6001,-0.2,3.2905
1,0.157713,-0.182638,-0.733294,10.867315,16.564575,217.618439,0.162003,-0.165382,-1.03282,-5.83457,13.754938,218.891464,4.3999,-0.6001,2.7844
1,0.177244,-0.163595,-0.268573,60.809334,30.404297,224.271271,-0.101303,0.146142,0.679339,45.6791,20.621393,231.434189,9.6001,-0.2,3.2905
1,-0.399782,0.475565,0.711042,-35.839836,-12.381348,219.327423,-0.46666,0.264916,1.093401,-26.281347,-15.084173,225.101791,6.8,0.2,2.7844
1,0.271239,-0.276388,0.183088,-63.641354,-43.494019,210.065338,0.478775,-0.233375,-0.818342,-71.645729,-15.87763,231.891953,9.2,-1.8,1.2656
1,0.140867,-0.154318,-0.713397,6.716925,26.574341,254.697296,0.151993,-0.15232,-1.032209,-1.501074,6.766412,254.841171,5.2,-2.2,-0.2532
1,0.143919,-0.108175,-0.102557,70.117188,29.839722,259.107086,-0.159653,0.17788,0.763323,35.608299,26.633356,268.177368,9.2,-2.2,2.7844
1,-0.329103,0.396708,0.64964,-51.022331,-25.717529,250.195953,-0.472885,0.259179,1.068865,-29.363623,-14.229681,255.421005,6,0.5999,5.3157
1,0.351317,-0.378073,0.006818,-84.988403,-28.586182,242.520782,0.458756,-0.238502,-0.899641,-73.720924,-23.156073,265.720703,9.2,-3,0.7593
1,0.149534,-0.146994,-0.647845,30.398567,23.629395,287.183258,0.133072,-0.141334,-1.003523,-0.524512,17.798517,284.183838,5.6001,0.2,0.7593
1,0.081785,-0.024069,0.074445,38.378914,33.852783,292.798492,-0.212753,0.205346,0.8445,29.504786,8.215998,296.436646,8,-3,2.7844
1,-0.352175,0.47056,0.680158,4.595953,4.327026,292.645905,-0.461044,0.241723,1.026751,-46.773903,-12.398626,279.575684,5.6001,-2.2,2.7844
1,0.40515,-0.445089,-0.162616,-98.049927,-31.9126,273.496124,0.430801,-0.235938,-0.964704,-54.052345,-29.48847,287.662842,9.6001,-3.8,0.7593
1,0.311033,-0.330465,-0.738787,-39.562981,4.510132,295.987579,0.118912,-0.125953,-0.960066,7.165918,8.18548,305.95813,7.6001,-3,0.7593
1,-0.007448,0.088602,0.247541,54.187019,20.150391,315.122101,-0.270859,0.232324,0.923235,19.99856,11.267756,315.143921,8.3999,-1.8,2.2781
