ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz
1,0.01297,-0.022467,-1.012671,3.066504,0.327078,0.501849,0.019096,-0.006721,-1.005757,-12.713873,9.504453,1.194434,13,1,3.0376
1,-0.049774,-0.008429,0.007837,-1.862085,-6.112131,2.332904,-0.05024,-0.007698,0.002544,2.972162,-12.483462,0.217871,11.3999,3.8,6.5813
1,-0.05014,-0.007697,0.006128,8.300269,-4.265817,-0.978253,-0.049385,-0.008064,0.002544,-2.978765,-9.49274,1.408057,2.5999,2.2,14.6814
1,-0.045501,-0.010138,0.006372,9.643043,-6.569894,1.890399,-0.040474,-0.012336,-0.028096,1.308954,-2.244815,-0.316187,4.5999,1.3999,15.6938
1,-0.059295,-0.003668,-0.020728,-8.896386,-2.72468,-1.878522,-0.051094,-0.006599,-0.017842,4.757441,-11.430606,-0.117822,13.3999,0.5999,5.5688
1,-0.080413,0.005731,0.056909,24.917089,-17.373117,-2.214215,-0.066109,0.008049,0.170879,-7.159674,-3.129825,0.507788,2.5999,1.8,13.1626
1,0.00467,-0.023322,0.037256,-19.348658,-2.72468,3.736712,-0.010811,-0.017219,0.002666,-12.210333,-17.045841,3.75791,9,3.3999,4.05
1,0.056549,-0.041144,-0.152563,10.085547,10.626761,1.585223,0.080619,-0.022834,-0.310078,-5.206549,20.445004,5.65,11,-0.2,7.594
1,-0.117889,-0.00904,-0.076147,-7.996118,19.675222,14.600971,-0.042061,-0.006233,-0.045796,12.753046,25.617733,8.503393,12.5999,-1.8,6.5813
1,-0.193817,0.040765,0.170435,-18.250025,3.638235,11.640766,-0.061959,-0.002449,0.413066,3.521479,-22.3559,7.816748,4.5999,3.8,12.6565
1,0.038727,-0.073004,0.296411,4.638159,-23.522409,9.245136,0.124565,-0.016487,0.06126,-9.799444,-16.313419,13.615088,11.3999,2.5999,3.0376
1,0.07547,0.043573,-0.181616,-20.44729,8.551566,17.225481,0.109306,0.01281,-0.379292,-5.557501,9.626523,13.935522,11,-1.4001,12.1501
1,0.089142,-0.033942,-0.217139,-4.074609,25.24468,11.97646,-0.006661,0.011345,-0.033833,-12.637579,28.898373,17.857033,11,0.2,7.0876
1,-0.215057,0.012933,0.168604,-6.165063,-16.686472,16.050554,-0.06379,-0.040291,0.38377,-5.832159,-28.871403,15.049414,9,-1.4001,9.1125
1,0.095368,-0.092902,0.261987,-9.460961,-27.077707,14.387348,0.182182,-0.032478,-0.02834,-3.314459,-31.846867,18.192726,12.5999,1,4.05
1,0.088288,0.063714,-0.219336,15.502418,13.312308,19.102312,0.109794,0.029412,-0.384541,-3.024542,30.500546,14.957861,10.2,1.8,3.0376
1,0.059479,-0.024298,-0.217993,-13.336694,34.308399,17.36281,-0.033516,0.004143,0.024395,-6.19837,18.507137,18.803078,12.2,-1.8,6.5813
1,-0.222381,-0.003791,-0.044287,-8.545434,19.614187,19.88051,-0.306832,-0.042488,0.437236,-17.917118,-6.196842,22.907692,10.2,0.2,9.1125
1,0.165314,-0.076178,0.269067,-4.257715,-31.533276,16.248919,0.224907,-0.013313,-0.069844,5.184687,-28.383121,14.896826,12.5999,0.2,2.0251
1,0.152008,0.028924,-0.007788,-17.761744,-5.105051,19.453264,0.091972,0.022576,-0.419331,4.818476,-1.878604,17.948586,8.5999,3,7.594
1,0.001007,-0.013556,-0.214941,-1.328027,25.214163,10.481098,-0.071846,-0.005989,0.084575,-14.651739,31.492367,11.143164,13,0.2,8.1001
1,-0.265716,-0.022101,0.003076,-19.44021,6.140677,12.800434,-0.303536,-0.062141,0.469341,-10.302984,-18.159733,14.133886,10.5999,2.2,7.594
1,0.211579,-0.044684,0.221338,22.780859,-37.52998,6.78847,0.236259,0.003777,-0.162495,0.378168,-15.184268,8.518652,13.3999,2.2,1.5188
1,0.124543,0.07348,-0.07981,11.733497,-2.129587,10.923603,0.087455,0.033318,-0.437397,4.421747,14.570371,8.106665,8.5999,0.5999,7.594
1,-0.067718,-0.0409,-0.176123,1.311743,26.022879,-0.856183,-0.122261,-0.020637,0.170635,-11.73731,20.460262,2.964453,12.5999,-1,8.6064
1,-0.283783,-0.019782,0.088525,8.941138,-10.216744,5.354144,-0.282296,-0.071663,0.493877,-7.770025,-7.997379,3.391699,11,0.5999,5.5688
1,0.019318,-0.039801,0.288599,-11.414086,-31.868969,3.858783,0.238945,0.011833,-0.227192,3.490961,-31.190739,2.857641,11.3999,1.8,2.0251
1,0.094513,0.099115,-0.145117,14.190162,5.774466,2.546527,0.083549,0.035271,-0.449971,-8.624517,18.003597,3.651098,8.2,2.2,8.6064
1,0.07132,0.056512,-0.261572,-3.31167,29.181448,-1.664899,-0.15876,-0.027961,0.230205,-0.888311,11.060849,-4.863306,13.3999,2.2,9.6189
1,-0.25888,-0.022101,0.15127,-9.064233,-13.92463,-4.304669,-0.257515,-0.073372,0.499858,-1.727545,-25.194035,-2.879663,11.8,1,6.0752
1,0.107697,-0.052374,0.301294,16.890966,-43.053661,-5.006574,0.230156,0.012444,-0.269917,1.446283,-21.959171,-1.643701,11.8,0.5999,3.5439
1,0.084992,0.106439,-0.194311,-7.385767,15.43328,-4.518292,0.080986,0.032708,-0.455464,-6.839239,2.699032,-1.03335,9,3,7.594
1,0.048981,0.031976,-0.245825,8.605445,26.755301,-10.759136,-0.192208,-0.035652,0.277324,-3.42127,25.877132,-8.800074,10.2,-0.2,8.6064
1,-0.201629,-0.034674,0.198022,-10.452783,-23.873362,-5.723737,-0.228829,-0.074836,0.49168,6.985224,-24.721012,-8.983179,11,0.5999,7.594
1,0.175324,-0.06214,0.291284,4.424536,-36.171947,-9.385845,0.21746,0.015862,-0.307026,-3.940069,-12.361392,-3.856226,12.5999,0.2,4.05
1,0.20279,0.001581,0.025049,18.996679,-14.397653,-3.618024,0.084282,0.035027,-0.455464,-9.234869,20.139828,-6.145044,8.2,2.2,6.5813
1,0.015778,0.004022,-0.225439,-30.289209,38.886036,-11.003277,-0.220528,-0.043831,0.319927,-8.853399,8.222714,-8.296534,9.8,0.2,11.1377
1,-0.245208,-0.054328,-0.02207,-9.842431,8.765189,-9.126446,-0.192574,-0.072151,0.482769,-6.671392,-21.058903,-9.242579,10.5999,0.2,6.0752
1,0.226227,-0.063239,0.268457,-2.121484,-34.417187,-10.240337,0.19683,-0.021492,0.126323,6.90893,-40.040836,-12.111231,12.2,2.2,3.5439
1,0.160675,0.035516,-0.035742,8.086646,-2.739938,-9.126446,0.089531,0.030266,-0.458272,-9.433233,23.51202,-8.998438,8.2,2.5999,8.1001
1,-0.031952,-0.025275,-0.194434,-0.702417,29.379812,-14.039776,0.026176,0.018059,-0.108906,-13.919317,40.800228,-13.88125,10.2,3.3999,9.1125
1,-0.286102,-0.036627,0.047144,-4.303491,0.388113,-13.643047,-0.156441,-0.068733,0.46397,-11.569464,-44.40485,-10.051294,10.5999,1.3999,4.5564
1,0.258087,-0.068122,0.204248,23.360693,-29.046091,-11.262676,0.22393,-0.020027,0.063091,-0.857794,-34.242496,-13.042017,12.5999,-0.2,1.5188
1,0.120514,0.066888,-0.111548,-2.04519,15.448539,-6.288312,0.089775,0.030022,-0.450825,7.504023,22.565975,-13.75918,9,3.3999,8.1001
1,0.080719,0.06579,-0.269751,-6.027734,43.204273,-15.718244,0.001396,0.01574,-0.04665,-6.457769,34.696712,-16.551537,11.3999,-0.2,8.6064
1,-0.290985,-0.023322,0.112695,-9.628808,-8.00422,-10.926983,-0.113472,-0.06739,0.437236,-2.139532,-37.965641,-15.666528,10.5999,1,6.0752
1,0.058014,-0.060431,0.297754,-20.172632,-30.95344,-14.909527,0.249565,-0.016853,0.003887,5.703485,-44.633732,-15.086695,12.2,0.5999,1.5188
1,0.097321,0.089471,-0.161841,14.312232,4.523245,-10.820171,0.09185,0.030388,-0.432271,-1.498663,40.250912,-15.346094,8.2,3.3999,8.1001
1,0.062653,0.049554,-0.254614,-9.827172,34.155811,-16.008162,-0.027169,0.008904,0.003887,-0.491583,28.913631,-19.343895,9.8,-0.2,9.6189
1,-0.264007,-0.023566,0.144312,24.703466,-28.847727,-21.82176,-0.07502,-0.062141,0.402324,2.773798,-25.834904,-20.366234,10.5999,1.8,5.0627
1,0.135041,-0.063849,0.29751,19.729101,-47.249828,-19.365095,0.267875,-0.006721,-0.037617,9.624994,-29.344425,-18.886131,12.2,1.8,4.05
1,0.097077,0.106073,-0.163916,9.749854,32.477345,-17.457747,0.099785,0.03991,-0.391255,-5.328619,33.964291,-17.222923,9,1,9.1125
1,0.037018,0.038934,-0.206641,14.892066,41.190113,-21.69969,-0.050118,0.005852,0.057598,-4.580938,45.622005,-22.578758,9.8,0.2,9.1125
1,-0.207,-0.034308,0.160303,-24.841822,-9.89631,-18.251204,-0.037789,-0.062507,0.350811,7.992304,-36.149845,-23.875755,10.5999,2.2,3.5439
1,0.191193,-0.073859,0.254175,16.158545,-35.241161,-23.652815,0.271171,-0.005989,-0.104634,2.773798,-23.332462,-20.610374,12.5999,-0.2,3.5439
1,0.209504,-0.003546,0.013086,18.248999,-15.069039,-16.298079,0.099662,0.039666,-0.362324,-0.216925,28.089657,-20.961327,9,2.2,7.594
1,-0.000824,0.011224,-0.185645,-6.607568,42.578663,-25.422834,-0.074288,0.001824,0.110576,-0.964605,30.927792,-23.69265,10.5999,-1,8.6064
1,-0.278167,-0.029303,-0.018286,17.455542,5.789725,-24.324202,-0.329781,-0.064094,0.491191,1.049555,7.429257,-22.578758,10.5999,2.5999,5.0627
1,0.239167,-0.065192,0.250513,-0.839746,-30.938181,-24.858259,0.278129,0.007683,-0.131245,8.29748,-36.241398,-23.356956,11.8,1.8,5.0627
1,0.165924,0.044305,-0.02085,24.65769,2.676932,-22.371077,0.117363,0.034417,-0.43166,-3.68067,9.962216,-19.481224,9.8,1.8,7.0876
1,-0.048431,-0.020392,-0.170874,-13.901269,38.657154,-23.668074,-0.105049,-0.008308,0.153789,-6.656134,29.43243,-25.523705,12.5999,3,4.5564
1,-0.312347,-0.018561,0.023096,-18.265284,8.048026,-21.898054,-0.329293,-0.073738,0.490459,-9.173834,-12.300357,-21.892113,11.8,1.8,4.05
