Attitude Estimation Problem
timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.016000,-0.000009,-0.000011,0.000048,-0.118056,0.034566,8.375211,17.156346,0.869794,34.781710
0.020000,-0.000201,-0.000114,0.000036,-0.118113,0.048175,8.391566,16.936149,0.858392,34.640429
0.024000,0.000078,0.000023,-0.000239,-0.097449,0.046954,8.390131,17.204026,1.067403,34.211442
0.028000,0.000068,-0.000282,0.000162,-0.097328,0.039573,8.394020,17.160720,0.781810,34.581500
0.032000,0.000702,0.000034,-0.000606,-0.117738,0.035873,8.378766,16.782750,1.067199,34.380784
0.038000,0.005791,0.000577,-0.000895,-0.104897,0.023620,8.393563,16.809846,1.119596,34.582753
0.042000,0.005494,0.000440,-0.001378,-0.116717,0.047302,8.393248,16.938588,1.262507,34.451319
0.046000,0.003361,0.000249,-0.001426,-0.096617,0.043014,8.370019,17.063003,1.035301,34.416843
0.052000,0.001171,-0.000254,-0.000052,-0.115490,0.024027,8.380557,17.147597,0.880885,34.456910
0.054000,-0.000552,-0.000302,-0.000119,-0.099705,0.042106,8.378750,17.319363,0.783116,34.071374
0.060000,-0.000968,-0.000200,0.000412,-0.124957,0.036029,8.373574,17.367190,1.474572,34.458142
0.064000,-0.000127,-0.000271,0.000078,-0.121531,0.038820,8.397293,16.683693,0.923591,34.481076
0.068000,0.000043,-0.000246,-0.000073,-0.108732,0.012792,8.388783,17.020245,0.768921,34.647875
0.074000,-0.000715,0.000224,0.000355,-0.114116,0.039824,8.401902,17.157822,0.695398,34.670958
0.076000,-0.000328,0.000081,0.000319,-0.135480,0.029767,8.391649,17.452189,1.016374,34.471290
0.082000,-0.000911,0.000837,0.000983,-0.130703,0.050411,8.389423,17.029210,1.101588,34.202937
0.086000,-0.001664,0.000879,0.001146,-0.106462,0.029892,8.393877,17.088079,0.907536,34.892443
0.090000,-0.001280,0.001039,0.001020,-0.104288,0.037890,8.388084,17.022671,1.303840,34.323903
