Attitude Estimation Problem
timestamp,qw,qx,qy,qz
0.016000,1.000000,-0.000094,-0.000100,0.000050
0.017000,1.000000,-0.000191,-0.000198,0.000098
0.018000,1.000000,-0.000288,-0.000297,0.000147
0.019000,1.000000,-0.000384,-0.000396,0.000196
0.020000,1.000000,-0.000482,-0.000495,0.000245
0.021000,1.000000,-0.000579,-0.000592,0.000292
0.022000,0.999999,-0.000674,-0.000693,0.000342
0.023000,0.999999,-0.000767,-0.000791,0.000389
0.024000,0.999999,-0.000863,-0.000890,0.000439
0.025000,0.999999,-0.000956,-0.000988,0.000487
0.026000,0.999999,-0.001049,-0.001086,0.000535
0.027000,0.999998,-0.001144,-0.001184,0.000582
0.028000,0.999998,-0.001238,-0.001283,0.000630
0.029000,0.999998,-0.001332,-0.001381,0.000678
0.030000,0.999998,-0.001426,-0.001480,0.000727
0.031000,0.999997,-0.001519,-0.001578,0.000775
0.032000,0.999997,-0.001613,-0.001677,0.000824
0.033000,0.999997,-0.001707,-0.001775,0.000874
0.034000,0.999996,-0.001799,-0.001872,0.000922
0.035000,0.999996,-0.001891,-0.001970,0.000970
0.036000,0.999995,-0.001985,-0.002068,0.001019
0.037000,0.999995,-0.002076,-0.002165,0.001067
0.038000,0.999994,-0.002167,-0.002262,0.001114
0.039000,0.999994,-0.002258,-0.002360,0.001162
0.040000,0.999993,-0.002347,-0.002458,0.001209
0.041000,0.999993,-0.002436,-0.002555,0.001256
0.042000,0.999992,-0.002527,-0.002652,0.001303
0.043000,0.999992,-0.002621,-0.002749,0.001350
0.044000,0.999991,-0.002713,-0.002847,0.001399
0.045000,0.999991,-0.002803,-0.002947,0.001448
0.046000,0.999990,-0.002898,-0.003044,0.001496
0.047000,0.999989,-0.002987,-0.003139,0.001542
0.048000,0.999989,-0.003080,-0.003234,0.001590
0.049000,0.999988,-0.003174,-0.003330,0.001638
0.050000,0.999987,-0.003267,-0.003428,0.001687
0.051000,0.999987,-0.003357,-0.003526,0.001736
0.052000,0.999986,-0.003449,-0.003624,0.001785
0.053000,0.999985,-0.003541,-0.003721,0.001832
0.054000,0.999984,-0.003635,-0.003817,0.001879
0.055000,0.999984,-0.003726,-0.003913,0.001927
0.056000,0.999983,-0.003816,-0.004008,0.001973
0.057000,0.999982,-0.003907,-0.004105,0.002021
0.058000,0.999981,-0.004000,-0.004201,0.002070
0.059000,0.999980,-0.004090,-0.004296,0.002118
0.060000,0.999979,-0.004180,-0.004390,0.002164
0.061000,0.999978,-0.004270,-0.004486,0.002212
0.062000,0.999977,-0.004361,-0.004582,0.002260
0.063000,0.999977,-0.004450,-0.004677,0.002307
0.064000,0.999976,-0.004541,-0.004773,0.002357
0.065000,0.999975,-0.004629,-0.004869,0.002404
0.066000,0.999974,-0.004721,-0.004965,0.002452
0.067000,0.999973,-0.004809,-0.005059,0.002498
0.068000,0.999971,-0.004903,-0.005157,0.002548
0.069000,0.999970,-0.004993,-0.005252,0.002595
0.070000,0.999969,-0.005082,-0.005348,0.002642
0.071000,0.999968,-0.005170,-0.005443,0.002691
0.072000,0.999967,-0.005261,-0.005541,0.002739
0.073000,0.999966,-0.005352,-0.005635,0.002786
0.074000,0.999965,-0.005442,-0.005729,0.002833
0.075000,0.999964,-0.005532,-0.005824,0.002880
0.076000,0.999962,-0.005620,-0.005919,0.002928
0.077000,0.999961,-0.005708,-0.006014,0.002976
0.078000,0.999960,-0.005796,-0.006110,0.003024
0.079000,0.999959,-0.005885,-0.006204,0.003071
0.080000,0.999957,-0.005974,-0.006299,0.003118
0.081000,0.999956,-0.006063,-0.006394,0.003167
0.082000,0.999955,-0.006153,-0.006488,0.003214
0.083000,0.999954,-0.006243,-0.006582,0.003261
0.084000,0.999952,-0.006331,-0.006674,0.003308
0.085000,0.999951,-0.006420,-0.006769,0.003357
0.086000,0.999949,-0.006509,-0.006862,0.003403
0.087000,0.999948,-0.006599,-0.006956,0.003451
0.088000,0.999947,-0.006688,-0.007049,0.003497
0.089000,0.999945,-0.006777,-0.007140,0.003543
0.090000,0.999944,-0.006864,-0.007234,0.003591
0.091000,0.999942,-0.006954,-0.007328,0.003639
0.092000,0.999941,-0.007041,-0.007422,0.003687
0.093000,0.999939,-0.007129,-0.007515,0.003734
0.094000,0.999938,-0.007215,-0.007609,0.003781
0.095000,0.999936,-0.007305,-0.007704,0.003831
0.096000,0.999935,-0.007393,-0.007795,0.003878
0.097000,0.999933,-0.007482,-0.007889,0.003926
0.098000,0.999932,-0.007572,-0.007981,0.003974
0.099000,0.999930,-0.007658,-0.008073,0.004019
0.100000,0.999928,-0.007746,-0.008166,0.004068
0.101000,0.999927,-0.007834,-0.008260,0.004116
0.102000,0.999925,-0.007921,-0.008351,0.004163
0.103000,0.999923,-0.008009,-0.008444,0.004211
0.104000,0.999922,-0.008096,-0.008536,0.004259
0.105000,0.999920,-0.008183,-0.008628,0.004307
0.106000,0.999918,-0.008273,-0.008721,0.004356
0.107000,0.999917,-0.008359,-0.008814,0.004404
0.108000,0.999915,-0.008443,-0.008905,0.004451
0.109000,0.999913,-0.008531,-0.008995,0.004498
0.110000,0.999911,-0.008619,-0.009087,0.004545
0.111000,0.999909,-0.008708,-0.009177,0.004592
0.112000,0.999908,-0.008795,-0.009267,0.004639
0.113000,0.999906,-0.008882,-0.009358,0.004686
0.114000,0.999904,-0.008969,-0.009448,0.004733
0.115000,0.999902,-0.009054,-0.009538,0.004779
0.116000,0.999900,-0.009140,-0.009627,0.004825
0.117000,0.999898,-0.009223,-0.009716,0.004871
0.118000,0.999897,-0.009308,-0.009805,0.004917
0.119000,0.999895,-0.009393,-0.009896,0.004964
0.120000,0.999893,-0.009476,-0.009985,0.005010
0.121000,0.999891,-0.009561,-0.010075,0.005057
0.122000,0.999889,-0.009648,-0.010167,0.005104
0.123000,0.999887,-0.009730,-0.010257,0.005150
0.124000,0.999885,-0.009815,-0.010345,0.005195
0.125000,0.999883,-0.009901,-0.010436,0.005242
0.126000,0.999881,-0.009986,-0.010526,0.005289
0.127000,0.999879,-0.010069,-0.010613,0.005332
0.128000,0.999877,-0.010152,-0.010703,0.005377
0.129000,0.999875,-0.010237,-0.010794,0.005424
0.130000,0.999873,-0.010322,-0.010883,0.005469
0.131000,0.999870,-0.010407,-0.010974,0.005515
0.132000,0.999868,-0.010491,-0.011064,0.005561
0.133000,0.999866,-0.010578,-0.011156,0.005609
0.134000,0.999864,-0.010661,-0.011245,0.005654
0.135000,0.999862,-0.010743,-0.011336,0.005700
0.136000,0.999860,-0.010829,-0.011426,0.005746
0.137000,0.999857,-0.010911,-0.011516,0.005793
0.138000,0.999855,-0.010995,-0.011606,0.005839
0.139000,0.999853,-0.011081,-0.011696,0.005885
0.140000,0.999851,-0.011164,-0.011785,0.005930
0.141000,0.999848,-0.011248,-0.011876,0.005977
0.142000,0.999846,-0.011331,-0.011966,0.006022
0.143000,0.999844,-0.011415,-0.012056,0.006069
0.144000,0.999841,-0.011498,-0.012145,0.006115
0.145000,0.999839,-0.011581,-0.012235,0.006160
0.146000,0.999837,-0.011663,-0.012325,0.006205
0.147000,0.999834,-0.011744,-0.012414,0.006250
0.148000,0.999832,-0.011824,-0.012504,0.006295
0.149000,0.999830,-0.011907,-0.012593,0.006339
0.150000,0.999827,-0.011989,-0.012682,0.006384
0.151000,0.999825,-0.012071,-0.012771,0.006429
0.152000,0.999822,-0.012154,-0.012861,0.006476
0.153000,0.999820,-0.012237,-0.012951,0.006521
0.154000,0.999818,-0.012317,-0.013040,0.006566
0.155000,0.999815,-0.012398,-0.013131,0.006610
0.156000,0.999813,-0.012479,-0.013218,0.006654
0.157000,0.999810,-0.012562,-0.013308,0.006700
0.158000,0.999808,-0.012641,-0.013398,0.006744
0.159000,0.999805,-0.012721,-0.013488,0.006790
0.160000,0.999803,-0.012799,-0.013577,0.006835
0.161000,0.999800,-0.012880,-0.013666,0.006879
0.162000,0.999797,-0.012961,-0.013756,0.006924
0.163000,0.999795,-0.013043,-0.013846,0.006968
0.164000,0.999792,-0.013123,-0.013932,0.007011
0.165000,0.999790,-0.013207,-0.014023,0.007058
0.166000,0.999787,-0.013285,-0.014112,0.007101
0.167000,0.999784,-0.013366,-0.014201,0.007146
0.168000,0.999782,-0.013443,-0.014288,0.007189
0.169000,0.999779,-0.013524,-0.014376,0.007232
0.170000,0.999776,-0.013602,-0.014465,0.007276
0.171000,0.999774,-0.013679,-0.014552,0.007320
0.172000,0.999771,-0.013757,-0.014641,0.007364
0.173000,0.999768,-0.013834,-0.014727,0.007406
0.174000,0.999766,-0.013913,-0.014815,0.007451
0.175000,0.999763,-0.013991,-0.014903,0.007495
0.176000,0.999760,-0.014070,-0.014990,0.007538
0.177000,0.999757,-0.014150,-0.015080,0.007583
0.178000,0.999755,-0.014229,-0.015168,0.007627
0.179000,0.999752,-0.014307,-0.015256,0.007671
0.180000,0.999749,-0.014385,-0.015346,0.007715
0.181000,0.999746,-0.014466,-0.015437,0.007760
0.182000,0.999743,-0.014545,-0.015527,0.007804
0.183000,0.999740,-0.014622,-0.015618,0.007849
0.184000,0.999737,-0.014700,-0.015708,0.007891
0.185000,0.999735,-0.014777,-0.015799,0.007934
0.186000,0.999732,-0.014854,-0.015889,0.007977
0.187000,0.999729,-0.014928,-0.015977,0.008018
0.188000,0.999726,-0.015005,-0.016068,0.008061
0.189000,0.999723,-0.015082,-0.016159,0.008103
0.190000,0.999720,-0.015157,-0.016247,0.008144
0.191000,0.999717,-0.015232,-0.016337,0.008185
0.192000,0.999714,-0.015308,-0.016430,0.008227
0.193000,0.999711,-0.015385,-0.016520,0.008268
0.194000,0.999708,-0.015460,-0.016610,0.008308
0.195000,0.999705,-0.015536,-0.016702,0.008349
0.196000,0.999702,-0.015611,-0.016792,0.008387
0.197000,0.999699,-0.015687,-0.016884,0.008427
0.198000,0.999696,-0.015760,-0.016975,0.008466
0.199000,0.999693,-0.015835,-0.017067,0.008507
0.200000,0.999690,-0.015907,-0.017160,0.008547
0.201000,0.999686,-0.015983,-0.017255,0.008587
0.202000,0.999683,-0.016056,-0.017347,0.008626
0.203000,0.999680,-0.016130,-0.017439,0.008664
0.204000,0.999677,-0.016204,-0.017532,0.008704
0.205000,0.999674,-0.016277,-0.017624,0.008742
0.206000,0.999671,-0.016351,-0.017718,0.008783
0.207000,0.999668,-0.016424,-0.017811,0.008822
0.208000,0.999664,-0.016496,-0.017904,0.008861
0.209000,0.999661,-0.016568,-0.017998,0.008900
0.210000,0.999658,-0.016642,-0.018094,0.008940
0.211000,0.999655,-0.016716,-0.018188,0.008979
0.212000,0.999651,-0.016787,-0.018283,0.009017
0.213000,0.999648,-0.016861,-0.018377,0.009055
0.214000,0.999645,-0.016928,-0.018470,0.009091
0.215000,0.999641,-0.017001,-0.018565,0.009131
0.216000,0.999638,-0.017073,-0.018658,0.009168
0.217000,0.999635,-0.017144,-0.018752,0.009206
0.218000,0.999631,-0.017217,-0.018847,0.009244
0.219000,0.999628,-0.017289,-0.018940,0.009281
0.220000,0.999625,-0.017359,-0.019035,0.009318
0.221000,0.999621,-0.017428,-0.019129,0.009354
0.222000,0.999618,-0.017499,-0.019225,0.009390
0.223000,0.999615,-0.017569,-0.019320,0.009426
0.224000,0.999611,-0.017639,-0.019416,0.009461
0.225000,0.999608,-0.017708,-0.019510,0.009496
0.226000,0.999604,-0.017778,-0.019605,0.009532
0.227000,0.999601,-0.017848,-0.019701,0.009569
0.228000,0.999597,-0.017917,-0.019796,0.009603
0.229000,0.999594,-0.017987,-0.019892,0.009638
0.230000,0.999590,-0.018056,-0.019988,0.009674
0.231000,0.999587,-0.018125,-0.020085,0.009710
0.232000,0.999583,-0.018197,-0.020181,0.009746
0.233000,0.999580,-0.018264,-0.020275,0.009781
0.234000,0.999576,-0.018333,-0.020371,0.009816
0.235000,0.999573,-0.018399,-0.020466,0.009852
0.236000,0.999569,-0.018465,-0.020560,0.009888
0.237000,0.999566,-0.018533,-0.020653,0.009923
0.238000,0.999562,-0.018603,-0.020749,0.009960
0.239000,0.999558,-0.018675,-0.020845,0.009997
0.240000,0.999555,-0.018740,-0.020940,0.010033
0.241000,0.999551,-0.018811,-0.021035,0.010070
0.242000,0.999547,-0.018881,-0.021130,0.010107
0.243000,0.999544,-0.018948,-0.021224,0.010142
0.244000,0.999540,-0.019016,-0.021319,0.010178
0.245000,0.999536,-0.019085,-0.021415,0.010214
0.246000,0.999533,-0.019152,-0.021507,0.010247
0.247000,0.999529,-0.019219,-0.021602,0.010284
0.248000,0.999525,-0.019286,-0.021696,0.010319
0.249000,0.999522,-0.019354,-0.021792,0.010356
0.250000,0.999518,-0.019423,-0.021886,0.010393
0.251000,0.999514,-0.019488,-0.021979,0.010427
0.252000,0.999510,-0.019557,-0.022070,0.010462
0.253000,0.999507,-0.019624,-0.022162,0.010498
