timestamp,qw,qx,qy,qz
1.600000000000000033e-02,9.999999999893628422e-01,3.510404958558925569e-06,-2.958982836152545930e-06,4.426434984885273989e-07
2.000000000000000042e-02,9.999999999590790667e-01,8.817130766116458394e-06,-2.024544964923692291e-06,3.878626800132953742e-08
2.400000000000000050e-02,9.999999999838161679e-01,5.544908012736583134e-06,-1.182486366210996538e-06,4.726983473297859022e-07
2.800000000000000058e-02,9.999999999252074945e-01,1.187454611476319508e-05,-2.854911882939340570e-06,-6.554468469872728075e-07
3.200000000000000067e-02,9.999999997065167623e-01,2.368850222375775693e-05,-4.531959368062053602e-06,-2.298408984542680317e-06
3.799999999999999906e-02,9.999999992766890333e-01,3.772697241288075850e-05,-1.932422252200839881e-07,-4.822881321842433055e-06
4.200000000000000261e-02,9.999999989171624026e-01,4.594462977938997336e-05,6.305526400229067217e-07,-7.373493638816459088e-06
4.599999999999999922e-02,9.999999988468539769e-01,4.744719403824224898e-05,1.640521078719276471e-06,-7.236336365370386498e-06
5.199999999999999761e-02,9.999999987780295863e-01,4.890772959248742928e-05,-2.843719950717472727e-07,-7.203754257674267812e-06
5.399999999999999939e-02,9.999999988956674857e-01,4.659977182929989369e-05,-8.269590439663851412e-07,-6.036768404253325219e-06
5.999999999999999778e-02,9.999999989826808822e-01,4.475714876868606230e-05,3.752807273872115293e-07,-5.594181319731302250e-06
6.400000000000000133e-02,9.999999987795338274e-01,4.910841532624222739e-05,5.237998580147724461e-07,-5.387162488491482548e-06
6.800000000000000488e-02,9.999999987172375482e-01,5.035408983310173147e-05,3.302363100582315995e-06,-4.368661288414955894e-06
7.399999999999999634e-02,9.999999986201091318e-01,5.236145028374714679e-05,2.522965635365453411e-06,-3.419796722415795799e-06
7.599999999999999811e-02,9.999999987151756420e-01,5.041902155532349792e-05,5.141476481850359615e-06,-1.066042471813970974e-06
8.200000000000000344e-02,9.999999987094271292e-01,5.013800227270133464e-05,8.054280667593352906e-06,1.566983198844651117e-06
8.599999999999999312e-02,9.999999989058804273e-01,4.464334450067164125e-05,1.339501414880042723e-05,3.972988572642028485e-06
8.999999999999999667e-02,9.999999990672656658e-01,3.918272353040780625e-05,1.678355063200591841e-05,6.963851746717023149e-06
9.400000000000000022e-02,9.999999989917081056e-01,3.601059640567247046e-05,2.422357277445077501e-05,1.153426539599328143e-05
1.000000000000000056e-01,9.999999990295870278e-01,3.118232084271849614e-05,2.566767110685285621e-05,1.759715125101561943e-05
1.039999999999999952e-01,9.999999989034358272e-01,2.724858127995288310e-05,3.003229843872977654e-05,2.342444178033668974e-05
1.079999999999999988e-01,9.999999989208688822e-01,2.794890571890228995e-05,2.877704581014105628e-05,2.343080697458091243e-05
1.079999999999999988e-01,9.999999988978439669e-01,1.841960279851328502e-05,3.095496292753806917e-05,3.011346658348419811e-05
1.120000000000000023e-01,9.999999983191723008e-01,8.264936300980526421e-06,4.140399984971878972e-05,3.973732970361202335e-05
1.179999999999999938e-01,9.999999981055296416e-01,5.243672124462723483e-06,4.339534046992688990e-05,4.333923580263041199e-05
1.199999999999999956e-01,9.999999972684278093e-01,-6.930547664747637093e-06,5.199534727680141770e-05,5.207298729730077053e-05
1.280000000000000027e-01,9.999999969097930208e-01,-9.719986991647790506e-06,5.499969126590009152e-05,5.532603443742959782e-05
1.320000000000000062e-01,9.999999966303135812e-01,-1.608158966847627276e-05,5.562492792858066192e-05,5.819469604637761130e-05
