timestamp,qw,qx,qy,qz
1.600000000000000033e-02,9.999993803772694312e-01,-6.975380862719099059e-04,-7.765020816048997989e-04,3.869498835059210769e-04
2.000000000000000042e-02,9.999974862858126423e-01,-1.392056570457696511e-03,-1.570814836954415299e-03,7.887593478342982446e-04
2.400000000000000050e-02,9.999943478243032979e-01,-2.089600928182104144e-03,-2.354732218264211831e-03,1.180306565084605951e-03
2.800000000000000058e-02,9.999901290097622519e-01,-2.758797659012373216e-03,-3.115049121885325560e-03,1.558007536519707492e-03
3.200000000000000067e-02,9.999848116427220157e-01,-3.412512908483948150e-03,-3.873574862048605964e-03,1.930455207305473977e-03
3.799999999999999906e-02,9.999784386675193426e-01,-4.048108295096659696e-03,-4.627350214266226849e-03,2.307086755201488877e-03
4.200000000000000261e-02,9.999708308324440909e-01,-4.697031008520122057e-03,-5.390643048248666865e-03,2.686326767710457437e-03
4.599999999999999922e-02,9.999620499174093347e-01,-5.361453309003517617e-03,-6.143178735175082276e-03,3.068370645104856638e-03
5.199999999999999761e-02,9.999519679552746343e-01,-6.028680693597301792e-03,-6.909055257597431117e-03,3.461466006654340122e-03
5.399999999999999939e-02,9.999411421868666938e-01,-6.658525557157054207e-03,-7.652671007050099866e-03,3.848743416635652149e-03
5.999999999999999778e-02,9.999295737646395343e-01,-7.281794044061488252e-03,-8.373795504661716779e-03,4.207438081819758410e-03
6.400000000000000133e-02,9.999166908167054224e-01,-7.925381405548133709e-03,-9.104322255436187589e-03,4.572862562461348784e-03
6.800000000000000488e-02,9.999028457608040155e-01,-8.558198839303202826e-03,-9.830512419217774661e-03,4.941386207150881386e-03
7.399999999999999634e-02,9.998879545741971020e-01,-9.185760391430744867e-03,-1.055329943732473928e-02,5.322403070560234595e-03
7.599999999999999811e-02,9.998724804146077449e-01,-9.785520678237208392e-03,-1.126345946123661831e-02,5.692185481930810143e-03
8.200000000000000344e-02,9.998560358582553320e-01,-1.039062337577750968e-02,-1.197249830035529428e-02,6.049941167138442495e-03
8.599999999999999312e-02,9.998387744867250904e-01,-1.097362739967418059e-02,-1.268341371921780265e-02,6.413700258324850703e-03
8.999999999999999667e-02,9.998203950507520421e-01,-1.157269259164056020e-02,-1.338959497040111309e-02,6.780057025275420569e-03
9.400000000000000022e-02,9.998014925423704957e-01,-1.215027069069108713e-02,-1.408355795692291072e-02,7.141416348684909328e-03
1.000000000000000056e-01,9.997820391363311243e-01,-1.272367848438872226e-02,-1.476015667005143098e-02,7.491328406980904062e-03
1.039999999999999952e-01,9.997613772622357953e-01,-1.330589625978391768e-02,-1.544360326258951456e-02,7.850909355535319600e-03
1.079999999999999988e-01,9.997404361211785773e-01,-1.385665985270266402e-02,-1.612361870501706484e-02,8.190377391612565713e-03
1.079999999999999988e-01,9.997191466259673920e-01,-1.439469120855137348e-02,-1.678491553210096840e-02,8.525687364563723503e-03
1.120000000000000023e-01,9.996963277455767072e-01,-1.496218976501191220e-02,-1.745482055192554977e-02,8.872114119203003760e-03
1.179999999999999938e-01,9.996730385307457389e-01,-1.549412168346762410e-02,-1.813092630065286578e-02,9.220506463541066483e-03
1.199999999999999956e-01,9.996486627918041989e-01,-1.605292024569135792e-02,-1.879532622935987593e-02,9.570289550231434253e-03
1.280000000000000027e-01,9.996239409248275365e-01,-1.658942518369798183e-02,-1.945178861321841812e-02,9.919456725950581005e-03
1.320000000000000062e-01,9.995987147965698094e-01,-1.711755928956888370e-02,-2.010595140016819063e-02,1.025423128801290253e-02
1.340000000000000080e-01,9.995723735246191399e-01,-1.765852249241599628e-02,-2.075436139826186341e-02,1.060675033619656350e-02
1.400000000000000133e-01,9.995458335315470233e-01,-1.817516367155689108e-02,-2.140311480327099919e-02,1.094060199236115277e-02
1.439999999999999891e-01,9.995190918348938469e-01,-1.868262172815211147e-02,-2.203901616247303658e-02,1.126172586694187960e-02
1.479999999999999927e-01,9.994919184767108167e-01,-1.918713753898678917e-02,-2.266352097857355502e-02,1.158116875180223611e-02
1.539999999999999980e-01,9.994637550337265308e-01,-1.968046564598608175e-02,-2.330343342833259349e-02,1.190930880829865236e-02
1.580000000000000016e-01,9.994354980524553511e-01,-2.016716115401098047e-02,-2.392611844886240527e-02,1.222749768349437258e-02
1.620000000000000051e-01,9.994066217700554589e-01,-2.066224600128641412e-02,-2.453840235948574408e-02,1.254363432150065218e-02
1.660000000000000087e-01,9.993772123790630735e-01,-2.114368931406523586e-02,-2.515099338128163123e-02,1.286698533372178203e-02
1.700000000000000122e-01,9.993465427926905287e-01,-2.163427779743971185e-02,-2.577573905111463226e-02,1.319305532654443426e-02
1.739999999999999880e-01,9.993151530048585141e-01,-2.212094611724566701e-02,-2.640394945244854685e-02,1.351740252662128258e-02
1.799999999999999933e-01,9.992832085384480978e-01,-2.260064202852687595e-02,-2.703140819940715381e-02,1.384135411582691245e-02
1.839999999999999969e-01,9.992513332265052783e-01,-2.306133143407360434e-02,-2.764843901881713917e-02,1.416022095032589551e-02
1.880000000000000004e-01,9.992199046900910320e-01,-2.349947576724913806e-02,-2.825654137418604286e-02,1.445422358201962215e-02
1.920000000000000040e-01,9.991868295521930676e-01,-2.395039039622126262e-02,-2.888035972057313022e-02,1.476425655817299384e-02
1.960000000000000075e-01,9.991540272869717798e-01,-2.438916520597427320e-02,-2.949049177717772904e-02,1.505686791869727606e-02
2.000000000000000111e-01,9.991201510086241688e-01,-2.482289517777631210e-02,-3.011918794035549352e-02,1.534868858602000258e-02
2.059999999999999887e-01,9.990865109216312545e-01,-2.523990609721211975e-02,-3.073240085964874108e-02,1.564002468178930100e-02
2.099999999999999922e-01,9.990526143546407667e-01,-2.566206878728644059e-02,-3.133817642279881216e-02,1.591385167731725059e-02
2.139999999999999958e-01,9.990162213855950935e-01,-2.609552381897070270e-02,-3.198595608630077497e-02,1.620221152516980456e-02
2.200000000000000011e-01,9.989819659227333615e-01,-2.649420384054422539e-02,-3.257530576072755618e-02,1.649055422360159312e-02
2.220000000000000029e-01,9.989456038289543649e-01,-2.689302120617853911e-02,-3.321920593965991403e-02,1.676097723725871944e-02
2.280000000000000082e-01,9.989087529117444131e-01,-2.728363626072821679e-02,-3.386852511921946418e-02,1.702438119124398408e-02
2.340000000000000135e-01,9.988717868200257533e-01,-2.767381575435087088e-02,-3.449144280515546723e-02,1.731051096247189502e-02
2.379999999999999893e-01,9.988360194083253374e-01,-2.804336992535497869e-02,-3.508846218047548260e-02,1.757770057688928453e-02
2.419999999999999929e-01,9.987995639501063838e-01,-2.843582924118422117e-02,-3.566066877104073080e-02,1.786480817824607006e-02
2.439999999999999947e-01,9.987619153182568654e-01,-2.880528820540313381e-02,-3.628124960827162210e-02,1.812630155528073203e-02
2.500000000000000000e-01,9.987252255415411950e-01,-2.918234096666876692e-02,-3.684768089248497552e-02,1.840008846577847676e-02
2.520000000000000018e-01,9.986886861698954787e-01,-2.951439693149154539e-02,-3.744895231597061142e-02,1.863825261269045144e-02
2.600000000000000089e-01,9.986503135992635949e-01,-2.988925635328697553e-02,-3.802989476480008596e-02,1.891852549534620356e-02
2.640000000000000124e-01,9.986124529345412615e-01,-3.026342738946730115e-02,-3.858067865923518747e-02,1.920481816872678799e-02
2.660000000000000142e-01,9.985736193334759925e-01,-3.062064581467117269e-02,-3.916180791024791857e-02,1.947962069281174505e-02
2.720000000000000195e-01,9.985357008225888009e-01,-3.097556050122889093e-02,-3.970999224705450831e-02,1.975057847544437611e-02
2.760000000000000231e-01,9.984969073044600574e-01,-3.133639711658580546e-02,-4.025717687195022598e-02,2.003287371997904479e-02
2.800000000000000266e-01,9.984577977691601047e-01,-3.168942829229340341e-02,-4.080741424897286335e-02,2.031160138392123365e-02
2.859999999999999765e-01,9.984186561724168740e-01,-3.204883068185418460e-02,-4.133965509141375450e-02,2.059350324044380287e-02
2.899999999999999800e-01,9.983786025006714526e-01,-3.241345608405152290e-02,-4.187451362997007126e-02,2.088202676338739641e-02
2.939999999999999836e-01,9.983403817871485675e-01,-3.275719234591933926e-02,-4.237548756087471807e-02,2.116049377214754973e-02
2.979999999999999871e-01,9.983000374072535932e-01,-3.311417153972303490e-02,-4.289950905248198637e-02,2.145038645269351646e-02
2.999999999999999889e-01,9.982621168448806426e-01,-3.344909736437835096e-02,-4.338156601822427266e-02,2.172426495172548669e-02
3.059999999999999942e-01,9.982219467320977424e-01,-3.378907594262074016e-02,-4.389483794244728593e-02,2.201105657007346866e-02
3.119999999999999996e-01,9.981834039458808983e-01,-3.411754442529633946e-02,-4.437847345622449730e-02,2.228085148949967079e-02
3.160000000000000031e-01,9.981439389626448611e-01,-3.444581129875470132e-02,-4.487143843657996622e-02,2.255476022348166382e-02
3.200000000000000067e-01,9.981040656095685470e-01,-3.477562649963972935e-02,-4.536285814520410464e-02,2.282851541615940269e-02
3.240000000000000102e-01,9.980639203511911806e-01,-3.509717276288409904e-02,-4.585533612293376388e-02,2.310600584947428843e-02
3.280000000000000138e-01,9.980245235962806882e-01,-3.540873142808608626e-02,-4.633440222634978289e-02,2.337509806177482871e-02
3.320000000000000173e-01,9.979839296091409517e-01,-3.573246342965975819e-02,-4.681224277262926309e-02,2.366180943506588155e-02
3.380000000000000226e-01,9.979435921923671682e-01,-3.603730834595589294e-02,-4.729100366572846353e-02,2.394702866037332067e-02
3.420000000000000262e-01,9.979015987956441069e-01,-3.637424873241500850e-02,-4.776903291053960499e-02,2.423700982055152289e-02
3.459999999999999742e-01,9.978597182443931235e-01,-3.669610592351906647e-02,-4.824374709643272641e-02,2.453404535264791866e-02
3.499999999999999778e-01,9.978182322312761920e-01,-3.701169952401563157e-02,-4.871248534429576532e-02,2.481941370735633867e-02
3.539999999999999813e-01,9.977766426229500718e-01,-3.731142664144921489e-02,-4.917524825182435083e-02,2.512814830872110369e-02
3.599999999999999867e-01,9.977347669603443547e-01,-3.761445030856762350e-02,-4.964030695914700697e-02,2.542297880998947018e-02
3.639999999999999902e-01,9.976935487743670006e-01,-3.790781185022808197e-02,-5.009544897587724088e-02,2.571043614259948054e-02
3.679999999999999938e-01,9.976498580673787142e-01,-3.821076038671031988e-02,-5.057358855048807444e-02,2.601942793249834018e-02
3.719999999999999973e-01,9.976078503795691166e-01,-3.849596400133654256e-02,-5.103158048773851624e-02,2.631378744283413562e-02
3.760000000000000009e-01,9.975653172460421381e-01,-3.878820421314871369e-02,-5.147827643576378259e-02,2.662517787593603538e-02
3.820000000000000062e-01,9.975241046810935375e-01,-3.906771234335424531e-02,-5.191188600368698558e-02,2.691710467305168455e-02
3.860000000000000098e-01,9.974837011733425074e-01,-3.932926199531144168e-02,-5.234066719647002819e-02,2.720164704319384327e-02
3.900000000000000133e-01,9.974430400900597959e-01,-3.958881736411552776e-02,-5.276916675107805321e-02,2.748676692531938984e-02
3.940000000000000169e-01,9.974017989157885067e-01,-3.984946583509345330e-02,-5.319590305700858807e-02,2.778250330975085350e-02
3.980000000000000204e-01,9.973597340333738570e-01,-4.012116342402870239e-02,-5.361142237493699003e-02,2.810104206815135230e-02
4.040000000000000258e-01,9.973177556759574847e-01,-4.039024014124303202e-02,-5.403125323979733607e-02,2.839976035358127149e-02
4.079999999999999738e-01,9.972741730037734120e-01,-4.066552440276176295e-02,-5.446713661719500971e-02,2.870313595083297947e-02
4.119999999999999774e-01,9.972313935552760134e-01,-4.093602663297325750e-02,-5.488632404322130870e-02,2.900484208419754420e-02
4.159999999999999809e-01,9.971894368612697068e-01,-4.119211680183503671e-02,-5.529520376044861490e-02,2.930660278466716562e-02
4.199999999999999845e-01,9.971467109920320038e-01,-4.145347702774471871e-02,-5.571330852200329781e-02,2.959853465317532212e-02
4.239999999999999880e-01,9.971049981697382991e-01,-4.168956008603365987e-02,-5.612512348070863161e-02,2.989270344137843691e-02
4.279999999999999916e-01,9.970637762023838446e-01,-4.192830648276595767e-02,-5.651371317101918507e-02,3.020005834685867557e-02
4.339999999999999969e-01,9.970224565326056831e-01,-4.217302827997265746e-02,-5.690734791087061900e-02,3.048295604327293240e-02
4.380000000000000004e-01,9.969808922250632532e-01,-4.240498320446194069e-02,-5.731121648849855921e-02,3.076267872202640211e-02
4.420000000000000040e-01,9.969808922250632532e-01,-4.240498320446194069e-02,-5.731121648849855921e-02,3.076267872202640211e-02
