timestamp,qw,qx,qy,qz
1.600000000000000033e-02,9.999999999998642197e-01,2.268928687850459543e-07,-1.483528854388513547e-07,4.450589929187687888e-07
2.000000000000000042e-02,9.999999201174336605e-01,3.078722730564816641e-04,-7.480687477216022799e-05,-2.436877536529877275e-04
2.400000000000000050e-02,9.999996824172316945e-01,6.031352303902221771e-04,-2.164317660656761197e-04,-4.738677243370182572e-04
2.800000000000000058e-02,9.999993153617763308e-01,7.881821445851528883e-04,-4.562736588183361895e-04,-7.347511372599729862e-04
3.200000000000000067e-02,9.999987830374269526e-01,1.066319457244491219e-03,-5.058491751770325491e-04,-1.020295590540232222e-03
3.799999999999999906e-02,9.999980737251111806e-01,1.293828201231612008e-03,-6.364308566311189077e-04,-1.331732111765852617e-03
4.200000000000000261e-02,9.999972168665062222e-01,1.613545939487155256e-03,-6.676677956574377654e-04,-1.586489349973503040e-03
4.599999999999999922e-02,9.999962005354505745e-01,1.841946652294140915e-03,-8.532712242823906838e-04,-1.864959895244080275e-03
5.199999999999999761e-02,9.999954160246516954e-01,1.789924182799817196e-03,-9.534578384492527377e-04,-2.248336997428753391e-03
5.399999999999999939e-02,9.999943413090985889e-01,1.825302134115392404e-03,-1.208546926529312487e-03,-2.554415046008071035e-03
5.999999999999999778e-02,9.999930733874862199e-01,2.106836998536562415e-03,-1.176719918969898124e-03,-2.833680494262917366e-03
6.400000000000000133e-02,9.999916946616024260e-01,2.203326422867543308e-03,-1.174439905386007264e-03,-3.221281018335800644e-03
6.800000000000000488e-02,9.999915098223963739e-01,1.883002546817419192e-03,-1.289272548127277885e-03,-3.431087412120554028e-03
7.399999999999999634e-02,9.999905428132177532e-01,1.682418114190461968e-03,-1.396752374804069311e-03,-3.759366465034845364e-03
7.599999999999999811e-02,9.999891876478859132e-01,1.774580657661641719e-03,-1.240970108263364730e-03,-4.115269614608102651e-03
8.200000000000000344e-02,9.999875542924219207e-01,2.038231928906320944e-03,-1.163564307540129175e-03,-4.402611607505436432e-03
8.599999999999999312e-02,9.999859652847270519e-01,1.939615288540675296e-03,-1.340323948946604707e-03,-4.744539789838493962e-03
8.999999999999999667e-02,9.999838771422798755e-01,2.184681021351294813e-03,-1.423154287077208618e-03,-5.044527351879898522e-03
9.400000000000000022e-02,9.999817811829035952e-01,2.162248401660893209e-03,-1.494661976050455079e-03,-5.433964454673940320e-03
1.000000000000000056e-01,9.999794379258010180e-01,2.369129855983611883e-03,-1.497706246709581057e-03,-5.767826741779385515e-03
1.039999999999999952e-01,9.999774706806725533e-01,2.304348100716063427e-03,-1.403073544051958773e-03,-6.146502708475633930e-03
1.079999999999999988e-01,9.999756805914693514e-01,2.128463128449772229e-03,-1.360574079543354570e-03,-6.500516018965016643e-03
1.079999999999999988e-01,9.999728615453069569e-01,2.205118931017656034e-03,-1.497307498330464372e-03,-6.868165231409440082e-03
1.120000000000000023e-01,9.999699648362985194e-01,2.377905518634678642e-03,-1.600270865258310738e-03,-7.200980752239334245e-03
1.179999999999999938e-01,9.999694776621456116e-01,2.060092407261818366e-03,-1.813560709566378179e-03,-7.315104983660196923e-03
1.199999999999999956e-01,9.999664703691808487e-01,2.277771165449960639e-03,-1.902403063643850383e-03,-7.632218452312935011e-03
1.280000000000000027e-01,9.999650520088392280e-01,1.978428706070952531e-03,-2.022088302382752095e-03,-7.867130335256117962e-03
1.320000000000000062e-01,9.999623935861353674e-01,2.059671314347418219e-03,-1.853766226399703419e-03,-8.217829296208171985e-03
1.340000000000000080e-01,9.999599977744834112e-01,1.836964641845733638e-03,-1.939422576916174880e-03,-8.536219996454997780e-03
1.400000000000000133e-01,9.999586335394416992e-01,1.664364319171992646e-03,-1.674267914799704203e-03,-8.783958577702716958e-03
1.439999999999999891e-01,9.999551020701429316e-01,1.620062541215810904e-03,-1.773884869264309065e-03,-9.166382804753016658e-03
1.479999999999999927e-01,9.999526683145472106e-01,1.364102268236409713e-03,-1.902578720549691349e-03,-9.443545405778753718e-03
1.539999999999999980e-01,9.999507847781043957e-01,1.069969793642567071e-03,-1.804591299879619755e-03,-9.696733291908335092e-03
1.580000000000000016e-01,9.999469668871295847e-01,1.241963075472907879e-03,-1.874129600270926484e-03,-1.005030244273202346e-02
1.620000000000000051e-01,9.999431292170050112e-01,1.175936815336500827e-03,-1.831314738478147242e-03,-1.044039226460658810e-02
1.660000000000000087e-01,9.999420037956828766e-01,8.635623992760506004e-04,-1.646316010616623781e-03,-1.060815481835762804e-02
1.700000000000000122e-01,9.999387888296608073e-01,9.352209257921708513e-04,-1.424792212833637462e-03,-1.093224235191921773e-02
1.739999999999999880e-01,9.999360966330926859e-01,6.345688585136567174e-04,-1.448725421726418210e-03,-1.119380039086962861e-02
1.799999999999999933e-01,9.999336404272698431e-01,3.706655183911567722e-04,-1.673657590292251980e-03,-1.139193658738796473e-02
1.839999999999999969e-01,9.999292722535069178e-01,2.317676271507461492e-04,-1.720203171736395730e-03,-1.176595407890477715e-02
1.880000000000000004e-01,9.999253657886997271e-01,4.129417007534910982e-04,-1.599107996016878785e-03,-1.210517183290314193e-02
1.920000000000000040e-01,9.999208188070338732e-01,4.885353742698923243e-04,-1.828326963524309510e-03,-1.244084683506849025e-02
1.960000000000000075e-01,9.999155881318240180e-01,5.586303156760299765e-04,-1.888254034079328353e-03,-1.284285948928711937e-02
2.000000000000000111e-01,9.999105758365647301e-01,4.329342040800870841e-04,-1.885966591943353263e-03,-1.323238558153907139e-02
2.059999999999999887e-01,9.999056067322389385e-01,2.933545238981518136e-04,-1.834642804871303764e-03,-1.361343653656676977e-02
2.099999999999999922e-01,9.999007421197049217e-01,5.148732022749128584e-04,-1.799357550903638806e-03,-1.396435198829299243e-02
2.139999999999999958e-01,9.999001137898544389e-01,1.329968165439277949e-04,-1.891071595496135287e-03,-1.400602024500840863e-02
2.200000000000000011e-01,9.998972088888851140e-01,-2.095550853751501142e-04,-1.927337883170607497e-03,-1.420609417002279169e-02
2.220000000000000029e-01,9.998931622616545889e-01,9.023703362709062435e-05,-1.922876228192533241e-03,-1.448994363953760682e-02
2.280000000000000082e-01,9.998865285499329847e-01,9.001025408843808860e-05,-2.002640326997873199e-03,-1.493021614843183936e-02
2.340000000000000135e-01,9.998810707986276469e-01,6.632902289565451026e-05,-2.363782738371160257e-03,-1.523982907437815629e-02
2.379999999999999893e-01,9.998751815281854416e-01,2.896133096533585441e-04,-2.476634019906060434e-03,-1.560140288694390753e-02
2.419999999999999929e-01,9.998691678379033609e-01,5.034405115271425478e-04,-2.491385333940476440e-03,-1.597456584411185640e-02
2.439999999999999947e-01,9.998639025109723466e-01,4.553759644447682932e-04,-2.311226559990787240e-03,-1.632872683488518703e-02
2.500000000000000000e-01,9.998566933686695579e-01,4.962094998037973673e-04,-2.307138820878081465e-03,-1.676375890019525874e-02
2.520000000000000018e-01,9.998513007936878916e-01,2.769549093802155986e-04,-2.492589380501104932e-03,-1.706126007446235118e-02
2.600000000000000089e-01,9.998446877860299731e-01,5.235902586606747946e-04,-2.507565194012265249e-03,-1.743669338192023813e-02
2.640000000000000124e-01,9.998381884926982321e-01,3.444986350826989346e-04,-2.640636630512227523e-03,-1.779059275334919990e-02
2.660000000000000142e-01,9.998325756633935635e-01,2.652012693277705458e-04,-2.448474963906275073e-03,-1.813160999311826116e-02
2.720000000000000195e-01,9.998249649515429383e-01,3.977003479673889698e-04,-2.556686532256951909e-03,-1.852956146417731112e-02
2.760000000000000231e-01,9.998192303989601459e-01,1.437415392949494008e-04,-2.686467771736106985e-03,-1.882202841652132544e-02
2.800000000000000266e-01,9.998128823534517817e-01,3.519800355851443566e-05,-2.537697253925081265e-03,-1.917704705711940211e-02
2.859999999999999765e-01,9.998052818329203895e-01,-2.144795139149158304e-06,-2.734804451626131859e-03,-1.954275464221377420e-02
2.899999999999999800e-01,9.998016162152707498e-01,-3.483713773420039862e-04,-2.686901299329296812e-03,-1.973290176642766153e-02
2.939999999999999836e-01,9.997950549544067922e-01,-5.770888184838259775e-04,-2.808371142837310167e-03,-2.004066138464979593e-02
2.979999999999999871e-01,9.997895830553237273e-01,-5.528837732254794114e-04,-2.551905534187356821e-03,-2.034629479143698627e-02
2.999999999999999889e-01,9.997828053804936888e-01,-7.521452187697938007e-04,-2.718970108375307667e-03,-2.064905674914876976e-02
3.059999999999999942e-01,9.997790669588142443e-01,-7.401998178981553230e-04,-2.384764437233012103e-03,-2.087060789175486375e-02
