timestamp,qw,qx,qy,qz
1.600000000000000033e-02,9.999999998583237737e-01,-1.530521843831512822e-05,-6.991051464639566607e-06,4.774672984361558386e-07
2.000000000000000042e-02,9.999999992525983039e-01,-3.081548788347741505e-05,-2.334931390642135701e-05,1.365664111760574016e-07
2.400000000000000050e-02,9.999999979450031606e-01,-4.994921917733578489e-05,-4.018342324611620566e-05,6.014696785759485180e-07
2.800000000000000058e-02,9.999999964880603720e-01,-6.955148864491496211e-05,-4.675745358821034684e-05,-4.588328279252799693e-07
3.200000000000000067e-02,9.999999946999584832e-01,-8.470553181109987382e-05,-5.848591292839969927e-05,-2.110466268599075473e-06
3.799999999999999906e-02,9.999999939039709851e-01,-8.922925994738999784e-05,-6.487693066269539387e-05,-4.602313913729469786e-06
4.200000000000000261e-02,9.999999916605271100e-01,-1.001469716710023255e-04,-8.123172127660825931e-05,-7.137041027035790830e-06
4.599999999999999922e-02,9.999999882311916277e-01,-1.244315146763354198e-04,-8.946969546475781114e-05,-7.041891810220514879e-06
5.199999999999999761e-02,9.999999841235027720e-01,-1.436596351115305612e-04,-1.051928219794302864e-04,-7.026644537944805828e-06
5.399999999999999939e-02,9.999999802419786699e-01,-1.664761272692005323e-04,-1.084717656557957350e-04,-5.968046434903921331e-06
5.999999999999999778e-02,9.999999762586126995e-01,-1.859499425878258574e-04,-1.134710444695770940e-04,-5.451131421076290294e-06
6.400000000000000133e-02,9.999999685945141215e-01,-2.174160878592367927e-04,-1.245553156189619444e-04,-5.214306755130621200e-06
6.800000000000000488e-02,9.999999631441010006e-01,-2.372082968356848667e-04,-1.320110672252276297e-04,-4.135052495781192822e-06
7.399999999999999634e-02,9.999999575560148957e-01,-2.609206167830814657e-04,-1.296093145999222701e-04,-3.134637417016604086e-06
7.599999999999999811e-02,9.999999537305748198e-01,-2.760201521981073378e-04,-1.278718614337658684e-04,-7.147133901593563193e-07
8.200000000000000344e-02,9.999999449006458097e-01,-3.021396145752672929e-04,-1.375017889989791037e-04,1.901743681872021365e-06
8.599999999999999312e-02,9.999999366920484523e-01,-3.235811484919346543e-04,-1.479578702110560123e-04,4.428082186682074524e-06
8.999999999999999667e-02,9.999999260893279729e-01,-3.522068153034054448e-04,-1.539990642338034575e-04,7.482386817975208159e-06
9.400000000000000022e-02,9.999999167877232642e-01,-3.765074565160289100e-04,-1.565846102829326458e-04,1.216312672798155504e-05
1.000000000000000056e-01,9.999999069649683214e-01,-4.019942286531180057e-04,-1.553388324989691844e-04,1.845377662258328418e-05
1.039999999999999952e-01,9.999998946457523408e-01,-4.314280208915225378e-04,-1.548758753618778561e-04,2.432714720720429103e-05
1.079999999999999988e-01,9.999998840778168141e-01,-4.510983250640269483e-04,-1.665851826327354509e-04,2.457704702275863068e-05
1.079999999999999988e-01,9.999998720721862133e-01,-4.745202742019800001e-04,-1.722949659949239178e-04,3.163171499669887384e-05
1.120000000000000023e-01,9.999998547376249824e-01,-5.061767645451555921e-04,-1.804934065130511887e-04,4.161661215279395938e-05
1.179999999999999938e-01,9.999998395848688215e-01,-5.305863288825789312e-04,-1.929647477833183983e-04,4.553010572734555875e-05
1.199999999999999956e-01,9.999998177260659427e-01,-5.677834845160534532e-04,-1.979573075245195371e-04,5.461368067041646811e-05
1.280000000000000027e-01,9.999998026331895495e-01,-5.946298857268783990e-04,-1.942381236934126963e-04,5.848446243837079715e-05
