timestamp,qw,qx,qy,qz
1.600000000000000033e-02,9.999993153750176278e-01,-7.654297337771623832e-04,-7.960970199106325550e-04,3.867768781951516069e-04
2.000000000000000042e-02,9.999972263254865990e-01,-1.527538723278540084e-03,-1.610098806227368631e-03,7.883835465844296576e-04
2.400000000000000050e-02,9.999937642980417651e-01,-2.292226654999368618e-03,-2.413562548119892529e-03,1.179736335252952592e-03
2.800000000000000058e-02,9.999891025709096715e-01,-3.028398534636930067e-03,-3.193516549882314572e-03,1.557239155622341812e-03
3.200000000000000067e-02,9.999832259462677619e-01,-3.748501693440335972e-03,-3.971648480452105549e-03,1.929396148372778362e-03
3.799999999999999906e-02,9.999761823981395681e-01,-4.450035970971162602e-03,-4.745065430600159395e-03,2.305682189528880308e-03
4.200000000000000261e-02,9.999677772019983646e-01,-5.164999454838929520e-03,-5.528128719902586537e-03,2.684610061504849859e-03
4.599999999999999922e-02,9.999580758788575441e-01,-5.894905234684455660e-03,-6.300385395393679096e-03,3.066222561512761593e-03
5.199999999999999761e-02,9.999469517195117563e-01,-6.627157405506343621e-03,-7.086008304761063151e-03,3.458759587513589046e-03
5.399999999999999939e-02,9.999349973360540655e-01,-7.321623835070246653e-03,-7.849032230953536388e-03,3.845467461929269557e-03
5.999999999999999778e-02,9.999222039991935151e-01,-8.008565753539042403e-03,-8.589385497261415800e-03,4.203722248939844447e-03
6.400000000000000133e-02,9.999079706393529943e-01,-8.715379352857483344e-03,-9.339141660414910714e-03,4.568681174417580856e-03
6.800000000000000488e-02,9.998926820789263425e-01,-9.410542726558071558e-03,-1.008439519081396653e-02,4.936697705747335879e-03
7.399999999999999634e-02,9.998762452220307795e-01,-1.010024643130824455e-02,-1.082623691478172903e-02,5.317128641005739766e-03
7.599999999999999811e-02,9.998591528975199205e-01,-1.076165363425980216e-02,-1.155532902703973810e-02,5.686435543194238822e-03
8.200000000000000344e-02,9.998409893152788719e-01,-1.142788370084529131e-02,-1.228309579684520869e-02,6.043601311291394579e-03
8.599999999999999312e-02,9.998219338252712918e-01,-1.207154318989354588e-02,-1.301277603053965781e-02,6.406726690630733766e-03
8.999999999999999667e-02,9.998016461064140881e-01,-1.273091311282597768e-02,-1.373773742409362467e-02,6.772508005541949712e-03
9.400000000000000022e-02,9.997807755167313903e-01,-1.336809450608042286e-02,-1.445027299286430825e-02,7.133341914630096127e-03
1.000000000000000056e-01,9.997592765384252234e-01,-1.400044083408132946e-02,-1.514542607402676565e-02,7.482827062823532022e-03
1.039999999999999952e-01,9.997364647551169048e-01,-1.464128753604594657e-02,-1.584736149332392069e-02,7.841866609931731277e-03
1.079999999999999988e-01,9.997133353861518135e-01,-1.525003161411535475e-02,-1.654560063464490666e-02,8.180873211537414286e-03
1.079999999999999988e-01,9.996897981016530377e-01,-1.584585169044226347e-02,-1.722498259068415069e-02,8.515663827998714436e-03
1.120000000000000023e-01,9.996645991882563420e-01,-1.647098996778944766e-02,-1.791289338873066836e-02,8.861369516478635050e-03
1.179999999999999938e-01,9.996389045758770076e-01,-1.706005868247559981e-02,-1.860673677355940969e-02,9.208919737437289491e-03
1.199999999999999956e-01,9.996120047128275177e-01,-1.767564220427910240e-02,-1.928884461605118519e-02,9.557833438920994990e-03
1.280000000000000027e-01,9.995847256571791517e-01,-1.826837054080735281e-02,-1.996258582998091530e-02,9.906464436232885126e-03
1.320000000000000062e-01,9.995568829821026569e-01,-1.885231650656715024e-02,-2.063384720980261655e-02,1.024071261006560818e-02
1.340000000000000080e-01,9.995278341208850836e-01,-1.944860009655536084e-02,-2.129922446423489213e-02,1.059262994344960240e-02
1.400000000000000133e-01,9.994985569913364953e-01,-2.002014496728784024e-02,-2.196473111952754881e-02,1.092606766279056313e-02
1.439999999999999891e-01,9.994690355449704633e-01,-2.058179847788521241e-02,-2.261725028792187925e-02,1.124706840185002964e-02
1.479999999999999927e-01,9.994390244936459666e-01,-2.114013904317791487e-02,-2.325839101398425104e-02,1.156624778676799796e-02
1.539999999999999980e-01,9.994079586965568529e-01,-2.168710418397170464e-02,-2.391506010767985996e-02,1.189417950683553139e-02
1.580000000000000016e-01,9.993767662054492407e-01,-2.222685369285113191e-02,-2.455423169404157349e-02,1.221211896318052416e-02
