timestamp,dt,meas_0,meas_1,meas_2,meas_3,control_0,control_1,control_2,control_3,sensor_mask_0,sensor_mask_1,sensor_mask_2,sensor_mask_3
0.012000,0.004000,0.000000,0.000000,0.017453,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.016000,0.004000,0.000017,0.000017,0.017593,0.069000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.020000,0.004000,0.000000,0.000017,0.017541,0.069000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.024000,0.004000,-0.000035,0.000070,0.017453,0.069000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.028000,0.004000,-0.000052,0.000052,0.017349,0.071000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.032000,0.006000,-0.000052,0.000052,0.017174,0.071000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.038000,0.004000,0.000017,0.000716,0.017750,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.042000,0.004000,0.000000,0.001326,0.018692,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.046000,0.006000,-0.000140,0.000820,0.020228,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.052000,0.002000,-0.000559,-0.000803,0.020525,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.054000,0.006000,-0.001466,-0.000122,0.020752,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.060000,0.004000,-0.001361,0.001222,0.020368,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.064000,0.004000,-0.001536,0.002618,0.020263,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.068000,0.006000,-0.000925,0.001274,0.019862,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.074000,0.002000,0.000506,-0.000646,0.019809,0.071000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.076000,0.006000,0.002025,-0.000663,0.019426,0.071000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.082000,0.004000,0.003054,0.001257,0.019129,0.071000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.086000,0.004000,0.003456,0.002286,0.018588,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.090000,0.004000,0.003264,0.001431,0.018186,0.070000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.094000,0.006000,0.002775,0.000017,0.017575,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.100000,0.004000,0.002042,0.000925,0.016773,0.072000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.104000,0.004000,0.001379,0.002740,0.016109,0.072000,0.000000,-0.000000,-0.000000,0.000050,1,1,1,1
