Attitude Estimation Problem
timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.016000,0.000027,-0.000068,-0.000002,0.138342,0.173339,8.542067,16.920687,1.107055,34.569171
0.016500,-0.000325,0.000115,0.000156,-0.090681,0.023895,8.472033,16.782972,0.917853,34.520209
0.017000,-0.000137,0.000167,0.000094,-0.178274,0.050938,8.657040,16.958708,1.266520,34.628623
0.017500,-0.000326,0.000011,-0.000198,0.068898,0.152251,8.446141,17.321602,1.031803,34.551859
0.018000,0.000029,-0.000076,-0.000040,-0.003063,0.042048,8.345363,16.876612,0.983348,34.538693
0.018500,-0.000290,0.000185,-0.000034,-0.092924,0.131352,8.566160,16.793672,0.877104,34.473896
0.019000,-0.000239,-0.000137,0.000104,-0.095681,0.101250,8.418909,17.136715,1.069927,34.424183
0.019500,-0.000077,0.000022,0.000084,0.038615,0.050012,8.528019,17.147387,0.945964,33.983328
0.020000,0.000286,-0.000145,-0.000108,0.012673,0.145866,8.458905,16.963677,1.188913,34.212167
0.020500,-0.000016,0.000218,0.000026,0.067309,-0.080506,8.645503,17.078766,1.286454,34.389641
0.021000,0.000126,-0.000080,-0.000373,0.051733,0.075520,8.265410,17.057468,0.729822,34.849674
0.021500,0.000283,0.000245,-0.000094,-0.078689,0.128484,8.456633,17.040998,0.990035,34.797093
0.022000,0.000013,0.000138,-0.000181,-0.188785,0.108344,8.372814,17.184488,0.812362,34.411478
0.022500,0.000196,0.000270,-0.000159,0.146733,-0.005286,8.448340,17.152400,0.860820,34.128281
0.023000,0.000290,0.000106,-0.000147,0.123286,-0.086984,8.327501,17.046790,0.695894,34.847567
0.023500,0.000281,-0.000205,-0.000271,-0.015504,0.087044,8.293392,17.091105,0.806682,34.401586
0.024000,0.000056,-0.000038,-0.000262,-0.163989,0.086696,8.366841,16.693040,0.769256,34.731983
0.024500,0.000424,-0.000317,0.000412,-0.035254,-0.183782,8.359172,17.487013,1.121019,34.518449
0.025000,-0.000226,-0.000208,0.000248,0.003561,0.097459,8.349863,16.973829,0.796800,34.933006
0.025500,0.000237,0.000004,0.000378,0.171562,-0.065495,8.358757,17.020688,1.388663,34.804649
0.026000,0.000046,-0.000236,0.000389,0.159452,0.024918,8.371982,16.721679,0.852775,34.407282
0.026500,0.000079,-0.000401,-0.000017,-0.011327,0.140112,8.575631,17.041674,0.969455,35.113420
0.027000,-0.000070,-0.000038,0.000246,-0.078091,-0.000700,8.436781,16.849525,1.025187,34.654949
0.027500,0.000258,-0.000227,0.000249,-0.095189,-0.002037,8.428221,17.056759,1.002302,34.334885
