Attitude Estimation Problem
timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.016000,0.000006,-0.000012,-0.000002,-0.019885,0.060999,8.306048,16.881096,0.892822,34.883327
0.017000,-0.000174,-0.000042,0.000014,0.019518,0.043840,8.344887,17.219285,1.263120,34.728581
0.018000,-0.000147,-0.000036,0.000009,-0.005900,0.019506,8.334010,16.802870,0.798249,34.402057
0.019000,-0.000171,-0.000056,-0.000028,-0.001416,0.010626,8.365470,16.956494,0.850365,34.427912
0.020000,-0.000126,-0.000067,-0.000004,-0.011479,0.015412,8.321498,17.180452,1.007202,34.771174
0.021000,0.000135,0.000118,-0.000204,0.029742,-0.008242,8.349971,17.105572,0.850759,34.572486
0.022000,0.000140,0.000075,-0.000187,-0.013901,0.040784,8.312750,16.765888,0.535668,34.660098
0.023000,0.000161,0.000092,-0.000192,0.044643,0.037964,8.312103,17.253231,0.994962,34.460794
0.024000,0.000209,0.000072,-0.000217,-0.001595,0.037260,8.329964,16.798525,1.205889,34.631071
0.025000,0.000092,-0.000130,0.000245,0.013325,0.035425,8.298611,17.113145,0.980145,34.445714
0.026000,0.000113,-0.000166,0.000193,-0.002383,0.047687,8.312873,16.842573,1.029760,34.432427
0.027000,0.000133,-0.000125,0.000229,0.018046,0.036095,8.321990,16.975380,1.312028,34.526913
0.028000,0.000100,-0.000139,0.000218,0.028560,0.000408,8.312764,16.584487,0.877916,34.343237
0.029000,0.000720,0.000164,-0.000562,0.029331,0.072364,8.372476,17.030237,0.706684,34.619716
0.030000,0.000734,0.000143,-0.000562,0.005494,0.044701,8.342864,17.000014,0.889495,34.565001
0.031000,0.000733,0.000107,-0.000579,0.030188,0.041788,8.345056,17.042279,0.955225,34.492987
0.032000,0.000705,0.000127,-0.000577,0.013747,0.046010,8.307863,17.053128,1.047327,34.578173
0.033000,0.003938,0.000379,-0.000527,-0.002166,0.024972,8.302408,17.274127,0.876033,34.582059
0.034000,0.003853,0.000392,-0.000547,-0.028834,0.027003,8.321060,17.528268,0.973610,34.535766
0.035000,0.003917,0.000419,-0.000529,0.006584,0.046784,8.330174,16.813599,0.844239,34.515697
0.036000,0.003892,0.000388,-0.000527,-0.000718,0.017158,8.344066,17.159756,1.106852,34.599051
0.037000,0.003897,0.000366,-0.000582,0.002406,0.026896,8.322621,17.211883,0.789401,34.630388
0.038000,0.003874,0.000416,-0.000549,-0.010320,0.024976,8.315039,17.059526,1.006136,34.466396
0.039000,0.005589,0.000519,-0.001264,-0.001343,0.048946,8.334590,16.873327,0.748181,34.597982
0.040000,0.005589,0.000523,-0.001256,0.035635,0.060203,8.365831,17.152828,0.957539,34.533352
0.041000,0.005552,0.000522,-0.001281,0.015717,0.046768,8.316552,16.918141,1.079633,34.547889
0.042000,0.005535,0.000545,-0.001284,0.021093,0.022633,8.296730,16.986437,1.149785,34.660480
0.043000,0.003465,0.000380,-0.001273,0.035211,0.010703,8.335230,16.760966,0.992539,34.351606
0.044000,0.003483,0.000364,-0.001294,-0.013320,0.058639,8.351847,17.083726,0.375989,34.574200
0.045000,0.003460,0.000319,-0.001323,0.015098,0.061082,8.326529,17.194000,0.962007,34.311832
0.046000,0.003430,0.000338,-0.001273,0.049475,0.051025,8.308222,17.433724,1.206196,34.433913
0.047000,0.000799,-0.000074,0.000071,0.005829,0.032911,8.321331,17.006532,0.601863,34.627427
0.048000,0.000817,-0.000040,0.000008,-0.028989,0.043794,8.298438,16.793030,1.111927,34.733876
0.049000,0.000819,-0.000085,0.000025,-0.046497,0.029063,8.311139,17.043287,0.778502,34.776851
0.050000,0.000847,-0.000103,0.000045,-0.012946,-0.026565,8.309224,17.057243,1.001563,34.356753
0.051000,0.000831,-0.000076,-0.000006,0.000926,0.023226,8.334191,17.094020,0.944538,34.280275
0.052000,0.000827,-0.000074,0.000039,0.032510,0.046432,8.347077,17.314987,1.322563,34.732378
0.053000,-0.000933,-0.000140,0.000008,0.026794,0.015468,8.335235,17.224222,1.323682,34.334406
0.054000,-0.000961,-0.000178,0.000020,0.024497,0.027213,8.310438,16.852722,0.903756,34.593594
0.055000,-0.000548,0.000076,0.000386,0.015126,0.006123,8.304442,17.000465,0.787057,34.537302
0.056000,-0.000545,0.000024,0.000358,-0.009015,0.045079,8.330795,17.038656,1.145623,34.544794
